Title;Abstract;StoreId;AccessionNumber;AlternateTitle;ArticleType;AuthorAffiliation;Authors;coden;companies;copyright;correspondenceAuthor;digitalObjectIdentifier;documentType;elecISSN;elecPubDate;entryDate;isbn;issn;issue;language;languageOfSummary;originalTitle;pages;placeOfPublication;pubdate;pubtitle;publicationType;year;publisher;sourceAttrib;volume;DocumentURL;britishNursingIndexEdition;classification;classificationCodes;documentFeatures;majorClassificationCodes;notes;startPage;subjectClassifications;subjectTerms;subjects;URL;FindACopy;Database
Reflections of design-based research approach on learning experience of visual programming course;This study aims to examine the effects of Visual Programming course conducting in accordance with design-based research on students' learning experiences. The study was conducted in the fall semester in 2017-2018 at Software Engineering Department in Technology Faculty of a university in the north of Turkey. The sample of the study consists of 12 students taking the course. In this study based on a two-stage research method, the course was taught in accordance with design-based research for 14 weeks. Then the implications of teaching the course in that way for students’ visual programming learning experiences are analyzed with the specific case study. At the end of the study, the participants of the study were interviewed through a semi-structured interview form. The qualitative data obtained from the participants are subjected to content analysis. It is seen that students’ views can be grouped under five main themes. The results of the study show that the course process which is maintained in accordance with the design-based research method has important contributions for students learning experiences. It is concluded that the views of the students are generally positive but it can be said that there are also negative views about the process even if in limited numbers.;2385076517;;;Scholarly Journals;;"Özyurt, Hacer;Özcan Özyurt";;; © 2020. This work is published under http://creativecommons.org/licenses/by/4.0/  (the “License”). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.;; 10.33902/JPR.2020057981; Journal Article;; 2020-01-08; Apr 2020;;;1; English; English;; 12-21; Duzce;Apr 2020;Journal of Pedagogical Research;;2020;;;4;https://search.proquest.com/docview/2385076517?accountid=11774;;;;;; 2020-04-01 (Publication Date); 12;; Research methodology , Pedagogy , University students , Computer programming , Learning , Student attitudes; design-based research , visual programming , engineering education , students’ views;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Reflections+of+design-based+research+approach+on+learning+experience+of+visual+programming+course&amp;title=Journal+of+Pedagogical+Research&amp;issn=&amp;date=2020-04-01&amp;volume=4&amp;issue=1&amp;spage=12&amp;au=%C3%96zyurt%2C+Hacer%3B%C3%96zcan+%C3%96zyurt&amp;isbn=&amp;jtitle=Journal+of+Pedagogical+Research&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.33902%2FJPR.2020057981";ProQuest Central,Social Science Premium Collection
Bridging sustainability science, earth science, and data science through interdisciplinary education;Given the rapid emergence of data science techniques in the sustainability sciences and the societal importance of many of these applications, there is an urgent need to prepare future scientists to be knowledgeable in both their chosen science domain and in data science. This article provides an overview of required competencies, educational programs and courses that are beginning to emerge, the challenges these pioneering programs face, and lessons learned by participating instructors, in the broader context of sustainability science competencies. In addition to data science competencies, competencies collaborating across disciplines are essential to enable sustainability scientists to work with data scientists. Programs and courses that target both sets of competencies—data science and interdisciplinary collaboration—will improve our workforce capacity to apply innovative new approaches to yield solutions to complex sustainability problems. Yet developing these competencies is difficult and most instructors are choosing instructional approaches through intuition or trial and error. Research is needed to develop effective pedagogies for these specific competencies.;2296991663;;;Scholarly Journals;" University of Texas at El Paso, Department of Geological Sciences, El Paso, USA (GRID:grid.267324.6) (ISNI:0000 0001 0668 0420) , Cooperative Institute for Research in the Atmosphere, Colorado State University, Fort Collins, USA (GRID:grid.47894.36) (ISNI:0000 0004 1936 8083); Colorado State University, Electrical and Computer Engineering, Fort Collins, USA (GRID:grid.47894.36) (ISNI:0000 0004 1936 8083) , University of Texas at Austin, Department of Curriculum and Instruction, Austin, USA (GRID:grid.89336.37) (ISNI:0000 0004 1936 9924) , Mathematics and Statistics, University of Vermont, Burlington, USA (GRID:grid.59062.38) (ISNI:0000 0004 1936 7689) , Texas Advanced Computing Center, University of Texas at Austin, Austin, USA (GRID:grid.89336.37) (ISNI:0000 0004 1936 9924)";"Pennington, Deana;Ebert-Uphoff Imme;Freed, Natalie;Martin, Jo;Pierce, Suzanne A";;; Sustainability Science is a copyright of Springer, (2019). All Rights Reserved.;; 10.1007/s11625-019-00735-3; Journal Article;; 2019-09-25; Mar 2020;;1862-4065;2; English; English;; 647-661; Dordrecht;Mar 2020;Sustainability Science;;2020;;;15;https://search.proquest.com/docview/2296991663?accountid=11774;;;;;; 2019-09-13 (Registration) , 2018-11-05 (Received) , 2019-09-13 (Accepted); 647;; Scientists , Scientists , Sustainability , Scientists , Science , Sustainability , Sustainable yield , Interdisciplinary aspects , Sustainability , Teachers; Education , Interdisciplinary studies , Competencies , Data science applications;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aabiglobal&amp;atitle=Bridging+sustainability+science%2C+earth+science%2C+and+data+science+through+interdisciplinary+education&amp;title=Sustainability+Science&amp;issn=18624065&amp;date=2020-03-01&amp;volume=15&amp;issue=2&amp;spage=647&amp;au=Pennington%2C+Deana%3BEbert-Uphoff+Imme%3BFreed%2C+Natalie%3BMartin%2C+Jo%3BPierce%2C+Suzanne+A&amp;isbn=&amp;jtitle=Sustainability+Science&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1007%2Fs11625-019-00735-3";ProQuest Central,SciTech Premium Collection
Applying Agile across the IT Curriculum;Agile is emerging as a new paradigm for organizations across a variety of industry sectors because Agile helps teams manage and adapt quickly to change. In order to provide our students with workforce ready skills and better performance in group projects, a regional campus Computer and Information Technology (CIT) department began implementing Agile across its curriculum. After a visit to a local business who underwent an Agile transformation and is now using Agile for all their teams, they said that understanding the culture of Agile is more important than the practices themselves. Revising our curriculum allows us to give our students the advantage of learning how to be Agile and what it means to thrive in an Agile culture.;2396852371; EJ1246230;;Scholarly Journals;;"Hulshult, Andrea;Woods, David M.";;;;;; Article , Report , 080: Journal Articles , 143: Reports - Research; 1545-679X;; Feb 2020;;;1; English; English;; 14-21;;Feb 2020;Information Systems Education Journal; Scholarly Journals , Reports;2020; http://isedj.org; ERIC, © Information Systems and Computing Academic Professionals;18;https://search.proquest.com/docview/2396852371?accountid=11774;;;;;;; 14;;  5185ER5 10713ER5  5168 10669 ,  3282ER5 10713ER5  3268 10669 ,  10719ER5  10675 ,  10685ER5 4527ER5 912ER5  10642 4511 909 ,  5611ER5 9726ER5 1ER5  5592 9690 1 ,  1305ER5 8652ER5  1300 8620 ,  8473ER5 1823ER5 9339ER5 5258ER5  8442 1814 9306 5241 ,  10709ER5  10666 ,  5723ER5 2799ER5  5704 2787 ,  8284ER5  8254 ,  2532ER5 3198ER5 2799ER5  2521 3184 2787 ,  10664ER5 3241ER5 6603ER5  10621 3227 6582 ,  2065ER5 5172ER5 8290ER5 3164ER5  2054 5155 8260 3150 ,  1783ER5 3795ER5 9280ER5 3431ER5 5722ER5 4925ER5 8950ER5 8043ER5 4558ER5 8297ER5  1774 3780 9247 3417 8016 4542 5703 4908 8917 8267 ,  10608ER5 9048ER5  10565 9015; Higher Education , Postsecondary Education;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeric&amp;atitle=Applying+Agile+across+the+IT+Curriculum&amp;title=Information+Systems+Education+Journal&amp;issn=1545-679X&amp;date=2020-02-01&amp;volume=18&amp;issue=1&amp;spage=14&amp;au=Hulshult%2C+Andrea%3BWoods%2C+David+M.&amp;isbn=&amp;jtitle=Information+Systems+Education+Journal&amp;btitle=&amp;rft_id=info:eric/EJ1246230&amp;rft_id=info:doi/";Social Science Premium Collection
What distinguishes great software engineers?;Great software engineers are essential to the creation of great software. However, today, we lack an understanding of what distinguishes great engineers from ordinary ones. We address this knowledge gap by conducting one of the largest mixed-method studies of experienced engineers to date. We surveyed 1,926 expert engineers, including senior engineers, architects, and technical fellows, asking them to judge the importance of a comprehensive set of 54 attributes of great engineers. We then conducted 77 email interviews to interpret our findings and to understand the influence of contextual factors on the ratings. After synthesizing the findings, we believe that the top five distinguishing characteristics of great engineers are writing good code, adjusting behaviors to account for future value and costs, practicing informed decision-making, avoiding making others’ jobs harder, and learning continuously. We relate the findings to prior work, and discuss implications for researchers, practitioners, and educators.;2347101304;;;Scholarly Journals; Microsoft, Redmond, USA (GRID:grid.419815.0) (ISNI:0000 0001 2181 3404) , University of Washington, The Information School, Seattle, USA (GRID:grid.34477.33) (ISNI:0000000122986657) , Microsoft Research, Redmond, USA (GRID:grid.419815.0) (ISNI:0000 0001 2181 3404);"Luo, Li Paul;Ko, Amy J;Begel, Andrew";;; Empirical Software Engineering is a copyright of Springer, (2019). All Rights Reserved.;; 10.1007/s10664-019-09773-y; Journal Article;; 2019-12-03; Jan 2020;;1382-3256;1; English; English;; 322-352; Dordrecht;Jan 2020;Empirical Software Engineering;;2020;;;25;https://search.proquest.com/docview/2347101304?accountid=11774;;;;;; 2019-08-15 (Registration); 322;; Engineers , Software engineering , Decision making; Software engineering , Software development management , Collaboration , Computer science education;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahightechjournals&amp;atitle=What+distinguishes+great+software+engineers%3F&amp;title=Empirical+Software+Engineering&amp;issn=13823256&amp;date=2020-02-01&amp;volume=25&amp;issue=1&amp;spage=322&amp;au=Luo%2C+Li+Paul%3BKo%2C+Amy+J%3BBegel%2C+Andrew&amp;isbn=&amp;jtitle=Empirical+Software+Engineering&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1007%2Fs10664-019-09773-y";ProQuest Central,SciTech Premium Collection
The use of open data as a material for learning;Open data has potential value as a material for use in learning activities. However, approaches to harnessing this are not well understood or in mainstream use in education. In this research, early adopters from a diverse range of educational projects and teaching settings were interviewed to explore their rationale for using open data in teaching, how suitable activity designs could be achieved, and the practical challenges of using open data. A thematic analysis was conducted to identify patterns and relationships in these open data-based practices that have already emerged. A document analysis of teaching materials and other related artefacts was used to augment and validate the findings. Drawing on this, common approaches and issues are identified, and a conceptual framework to support greater use of open data by educators is described. This paper also highlights where existing concepts in education and educational technology research, including inquiry-based learning, authenticity, motivation, dialogue, and personalisation can help us to understand the value and challenges of using open data in education.;2282313378;;;Scholarly Journals; The Open University, Institute of Educational Technology, Learning and Teaching Innovation, Milton Keynes, UK (GRID:grid.10837.3d) (ISNI:0000000096069301);Coughlan, Tim;;; Educational Technology Research and Development is a copyright of Springer, (2019). All Rights Reserved. This work is published under http://creativecommons.org/licenses/by/4.0/ (the “License”). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.;; 10.1007/s11423-019-09706-y; Journal Article;; 2019-08-29; Feb 2020;;1042-1629;1; English; English;; 383-411; New York;Feb 2020;Educational Technology, Research and Development;;2020;;;68;https://search.proquest.com/docview/2282313378?accountid=11774;;;;;; 2019-08-21 (Registration); 383;; Open data , Education; Open data , Open education , Authentic learning , Inquiry-based learning , Project-based Learning , Personalisation;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apsychology&amp;atitle=The+use+of+open+data+as+a+material+for+learning&amp;title=Educational+Technology%2C+Research+and+Development&amp;issn=10421629&amp;date=2020-02-01&amp;volume=68&amp;issue=1&amp;spage=383&amp;au=Coughlan%2C+Tim&amp;isbn=&amp;jtitle=Educational+Technology%2C+Research+and+Development&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1007%2Fs11423-019-09706-y";ProQuest Central,Social Science Premium Collection
Development and Application of a Novel Engineering-Based Maker Education Course for Pre-Service Teachers;This study aimed to raise awareness of maker education for pre-service teachers and discuss maker education in their major subjects by developing and applying a maker education course for pre-service teachers with various majors based on novel engineering (NE), a teaching and learning method that combines humanities and engineering. Accordingly, the course was developed following the procedure of the Analysis, Design, Development, Implementation, and Evaluation (ADDIE) model, and the educational effectiveness was investigated using test tools. The educational effect and difficulties were also examined through the analysis of reflective journals written by 20 pre-service teachers with various majors who participated in the course. To investigate the educational effectiveness of the developed course, the science, technology, engineering, arts, and mathematics (STEAM) literacy of the participants—before and after the course—was measured, with the results demonstrating a statistically significant improvement. Analysis of the reflective journals identified a recognition of sharing effectiveness, the joy of making, and an in-depth understanding of maker education as education effects, and a lack of understanding of techniques, the burden of prototype fabrication, and the limitation of majoring subjects as difficulties experienced during the activities. This study verified that NE could be used as a significant maker education measure for pre-service teachers with various majors. Based on this verification, this study also proposes a strategy to develop more effective NE-based maker education.;2397362779;;;Scholarly Journals;;"Ji-Yun, Kim;Chung, Hyunsong;Eun Young Jung;Jin-Ok, Kim;Lee, Tae-Wuk";;; © 2020. This work is licensed under http://creativecommons.org/licenses/by/3.0/  (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.;; 10.3390/educsci10050126; Journal Article;; 2020-04-28; 2020;;;5; English; English;;; Basel;2020;Education Sciences;;2020;;;10;https://search.proquest.com/docview/2397362779?accountid=11774;;;;;; 2020-03-13 (Received) , 2020-04-22 (Revised) , 2020-04-27 (Accepted); 126;; Students , Collaboration , Curricula , Science education , Books , Knowledge , Reading comprehension , STEM education , Engineering , Education policy , Humanities , Employment , Learning , Teacher education , United States--US; maker education , novel engineering , pre-service teacher education , STEM education , maker mindset;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Development+and+Application+of+a+Novel+Engineering-Based+Maker+Education+Course+for+Pre-Service+Teachers&amp;title=Education+Sciences&amp;issn=&amp;date=2020-01-01&amp;volume=10&amp;issue=5&amp;spage=126&amp;au=Ji-Yun%2C+Kim%3BChung%2C+Hyunsong%3BEun+Young+Jung%3BJin-Ok%2C+Kim%3BLee%2C+Tae-Wuk&amp;isbn=&amp;jtitle=Education+Sciences&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.3390%2Feducsci10050126";ProQuest Central,Social Science Premium Collection
Teaching Natural Language Processing through Big Data Text Summarization with Problem-Based Learning;Natural language processing (NLP) covers a large number of topics and tasks related to data and information management, leading to a complex and challenging teaching process. Meanwhile, problem-based learning is a teaching technique specifically designed to motivate students to learn efficiently, work collaboratively, and communicate effectively. With this aim, we developed a problem-based learning course for both undergraduate and graduate students to teach NLP. We provided student teams with big data sets, basic guidelines, cloud computing resources, and other aids to help different teams in summarizing two types of big collections: Web pages related to events, and electronic theses and dissertations (ETDs). Student teams then deployed different libraries, tools, methods, and algorithms to solve the task of big data text summarization. Summarization is an ideal problem to address learning NLP since it involves all levels of linguistics, as well as many of the tools and techniques used by NLP practitioners. The evaluation results showed that all teams generated coherent and readable summaries. Many summaries were of high quality and accurately described their corresponding events or ETD chapters, and the teams produced them along with NLP pipelines in a single semester. Further, both undergraduate and graduate students gave statistically significant positive feedback, relative to other courses in the Department of Computer Science. Accordingly, we encourage educators in the data and information management field to use our approach or similar methods in their teaching and hope that other researchers will also use our data sets and synergistic solutions to approach the new and challenging tasks we addressed.;2384385480;;;Scholarly Journals; Department of Computer Science, Virginia Tech, VA 24061, USA , Department of Electrical and Computer Engineering, Virginia Tech, VA 24061, USA;"Li, Liuqing;Geissinger, Jack;Ingram, William A;Fox, Edward A";;; © 2020. This work is published under  http://creativecommons.org/licenses/by-nc-nd/3.0  (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.;; 10.2478/dim-2020-0003; Journal Article;; 2020-03-24; 2020;;;1; English; English;; 18-43; Warsaw;2020;Data and Information Management;;2020;;;4;https://search.proquest.com/docview/2384385480?accountid=11774;;;;;; 2019-09-27 (Received) , 2020-01-21 (Accepted); 18;; Teaching , Linguistics , Big Data , Problem based learning , Summaries , Positive feedback , Cloud computing , Task complexity , Websites , Teaching methods , Algorithms , Natural language processing , Information management , Natural language processing , Problem based learning , Information management , Students , Data sets , Graduate students; information system education , computer science education , problem-based learning , natural language processing , NLP , big data text analytics , machine learning , deep learning;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Alibraryscience&amp;atitle=Teaching+Natural+Language+Processing+through+Big+Data+Text+Summarization+with+Problem-Based+Learning&amp;title=Data+and+Information+Management&amp;issn=&amp;date=2020-01-01&amp;volume=4&amp;issue=1&amp;spage=18&amp;au=Li%2C+Liuqing%3BGeissinger%2C+Jack%3BIngram%2C+William+A%3BFox%2C+Edward+A&amp;isbn=&amp;jtitle=Data+and+Information+Management&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.2478%2Fdim-2020-0003";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
Exploring Which Agile Principles Students Internalize When Using a Kanban Process Methodology;This paper reports on a case study of the Agile Kanban project methodology, which while growing in popularity, has had far less analysis on its usefulness in the classroom as compared to other frameworks such as Agile Scrum. Our study provides insight into why the Kanban methodology is useful by mapping student comments about the methodology to the twelve principles laid down in the Agile Manifesto. Our analysis identified two key agile principles that help to explain the value of Kanban. Specifically, we found that the students focused on self-organizing teams and reflection at regular intervals, and that these two principles led to improved team communication and coordination. Our findings are useful for those looking to use or define a process management methodology for student teams as well as others exploring the more general challenge of incorporating agile into the classroom.;2374138509;;;Scholarly Journals;;"Saltz, Jeffrey;Heckman, Robert";;; Copyright EDSIG Winter 2020;;; Journal Article;;; Winter 2020;;1055-3096;1; English; English;; 51-60; West Lafayette;Winter 2020;Journal of Information Systems Education;;2020;;;31;https://search.proquest.com/docview/2374138509?accountid=11774;;;;;;; 51;; Teaching , Process management , Information systems , Software , Students , Classrooms , Project management , Methodology , Collaboration , Computer science , Teams , Classrooms , Communication , Mapping , Methods , Learning , Education , Principles , Students;;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aabiglobal&amp;atitle=Exploring+Which+Agile+Principles+Students+Internalize+When+Using+a+Kanban+Process+Methodology&amp;title=Journal+of+Information+Systems+Education&amp;issn=10553096&amp;date=2020-01-01&amp;volume=31&amp;issue=1&amp;spage=51&amp;au=Saltz%2C+Jeffrey%3BHeckman%2C+Robert&amp;isbn=&amp;jtitle=Journal+of+Information+Systems+Education&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
Blended learning in computing education: It’s here but does it work?;Blended learning, a combination of face-to-face and computer-assisted pedagogy, is gaining acceptance at universities as an alternative learning experience. Modern technology has given faculty new ways to incorporate active learning and increase student engagement in their courses. Although the broad history of technology-enhanced coursework has demonstrated that student learning is usually very comparable to what occurs in traditional coursework, recent studies focusing specifically on blended learning in totally redesigned classes report positive results. Were those positive results due to the online blending or to the redesign of the class? To answer this question and other limitations and challenges in past studies, the authors present their unique research that measures learning in a blended undergraduate management information systems course where identical classes were compared, one being all face-to-face and one being one-third online. By varying only course modality, this research answers the question of whether blended learning is a superior learning environment in an undergraduate MIS class, a second-level MIS class covering ERP, business processes, databases, advanced spreadsheets, and data analytics. Collecting both quantitative and qualitative data, the authors use a critical realism lens to create a mechanism for learning. Quantitative data, analyzed by multiple regression models and qualitative data, analyzed by content analysis lead to the outcome that learning is comparable to traditional coursework, grade-wise, but students prefer face-to-face class time. It also reveals that self-regulatory skills are evident, confirming that blended learning can aid in the construction of learning.;2220071385;;;Scholarly Journals; University of Delaware, Department of Accounting and MIS, Newark, USA (GRID:grid.33489.35) (ISNI:0000 0001 0454 4791)  , University of Delaware, Center for Teaching and Assessment of Learning, Newark, USA (GRID:grid.33489.35) (ISNI:0000 0001 0454 4791)  , University of Delaware, Center for Teaching and Assessment of Learning, Newark, USA (GRID:grid.33489.35) (ISNI:0000 0001 0454 4791)  , University of Delaware, Applied Economics and Statistics, Newark, USA (GRID:grid.33489.35) (ISNI:0000 0001 0454 4791) ;"Monk, Ellen F;Guidry, Kevin R;Langan, Pusecker Kathleen;Ilvento, Thomas W";;; Education and Information Technologies is a copyright of Springer, (2019). All Rights Reserved.;; 10.1007/s10639-019-09920-4; Journal Article;; 2019-05-06; Jan 2020;;1360-2357;1; English; English;; 83-104; New York;Jan 2020;Education and Information Technologies;;2020;;;25;https://search.proquest.com/docview/2220071385?accountid=11774;;;;;; 2019-04-17 (Registration) , 2018-09-04 (Received) , 2019-04-17 (Accepted); 83;; MIS , Blended learning; Blended learning , Constructivism , Critical realism , E-learning , Hybrid learning;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Blended+learning+in+computing+education%3A+It%26rsquo%3Bs+here+but+does+it+work%3F&amp;title=Education+and+Information+Technologies&amp;issn=13602357&amp;date=2020-01-01&amp;volume=25&amp;issue=1&amp;spage=83&amp;au=Monk%2C+Ellen+F%3BGuidry%2C+Kevin+R%3BLangan%2C+Pusecker+Kathleen%3BIlvento%2C+Thomas+W&amp;isbn=&amp;jtitle=Education+and+Information+Technologies&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1007%2Fs10639-019-09920-4";ProQuest Central,Social Science Premium Collection
The Importance of Soft Skills for Employability and Career Development: Students and Employers' Perspectives;Soft skills are important for seeking jobs as well as for a productive, successful and fulfilling career. The main objective of this study was to investigate students' perceptions of the importance of soft skills and their satisfaction with the level of skills possessed by them. In addition, the study also explored employers' expectations and satisfaction with the level of soft skills possessed by fresh graduates. Two questionnaires were used to collect data from students and employers. For the students' survey, 132 graduate students from Nanyang Technological University, Singapore participated in this study. In addition, 16 employers from different industries participated in the employers' survey. It was found that the students were well-aware of the importance of soft skills in their employability and career development. Soft skills considered important by them were positive attitude, oral communication, self-motivation and self-direction, and problem solving. On the other hand, the employers expected fresh graduates to possess skills related to positive attitude, teamwork, good ethics, and problem solving. However, the employers felt that fresh graduates usually possess less than satisfactory soft skills. The study suggests an integrated approach for teaching soft skills to students, where these skills should be embedded in the curriculum.;2330760547;;;Scholarly Journals; Associate Professor, Wee Kim Wee School of Communication & Information, Nanyang Technological University, Singapore , Post-Graduate Student, Nanyang Technological University, Singapore , Post-Graduate Student, Nanyang Technological University, Singapore , Post-Graduate Student, Nanyang Technological University, Singapore;"Majid, Shaheen;Eapen, Chithra Mary;Aung, Ei Mon;Oo, Khine Thazin";;; Copyright IUP Publications Dec 2019;;; Journal Article;;; Dec 2019;;0973-8479;4; English; English;; 7-39; Hyderabad;Dec 2019;IUP Journal of Soft Skills;;2019;;;13;https://search.proquest.com/docview/2330760547?accountid=11774;;;;;;; 7;; Problem solving , Collaboration , Success , Studies , Verbal communication , Employees , Decision making , Student attitudes , Career advancement , Teamwork , Career development planning , Critical thinking , Human capital , Employment , Professions , Employers , United States--US , Singapore;;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aabiglobal&amp;atitle=The+Importance+of+Soft+Skills+for+Employability+and+Career+Development%3A+Students+and+Employers%27+Perspectives&amp;title=IUP+Journal+of+Soft+Skills&amp;issn=09738479&amp;date=2019-12-01&amp;volume=13&amp;issue=4&amp;spage=7&amp;au=Majid%2C+Shaheen%3BEapen%2C+Chithra+Mary%3BAung%2C+Ei+Mon%3BOo%2C+Khine+Thazin&amp;isbn=&amp;jtitle=IUP+Journal+of+Soft+Skills&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central
