Title;Abstract;StoreId;ArticleType;AuthorAffiliation;Authors;coden;companies;copyright;digitalObjectIdentifier;documentType;elecPubDate;entryDate;isbn;issn;issue;language;languageOfSummary;pages;placeOfPublication;pubdate;pubtitle;year;volume;DocumentURL;classification;classificationCodes;documentFeatures;majorClassificationCodes;notes;startPage;subjectClassifications;subjectTerms;subjects;FindACopy;Database
Carnegie Mellon University Federal Credit Union;In this report: Company Summary News (Past 12 months) Index;2400089661;Reports;;;; Carnegie Mellon University Federal Credit Union; Copyright News Bites Pty Ltd May 9, 2020;; Company Profile;; May 9, 2020;;;; English; English;; Melbourne;May 9, 2020;Private Company Research Reports;2020;;https://search.proquest.com/docview/2400089661?accountid=11774;;;;;;;;;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:book&amp;genre=unknown&amp;sid=ProQ:ProQ%3Aabitrade&amp;atitle=&amp;title=Carnegie+Mellon+University+Federal+Credit+Union&amp;issn=&amp;date=2020-05-09&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=&amp;btitle=Carnegie+Mellon+University+Federal+Credit+Union&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central
Carnegie Mellon University Federal Credit Union;In this report: Company Summary Financials News (Past 12 months) Index;2390567214;Reports;;;; Carnegie Mellon University Federal Credit Union; Copyright News Bites Pty Ltd Apr 17, 2020;; Company Profile;; Apr 17, 2020;;;; English; English;; Melbourne;Apr 17, 2020;Private Company Research Reports;2020;;https://search.proquest.com/docview/2390567214?accountid=11774;;;;;;;;;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:book&amp;genre=unknown&amp;sid=ProQ:ProQ%3Aabitrade&amp;atitle=&amp;title=Carnegie+Mellon+University+Federal+Credit+Union&amp;issn=&amp;date=2020-04-17&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=&amp;btitle=Carnegie+Mellon+University+Federal+Credit+Union&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central
Carnegie Mellon University Federal Credit Union;In this report: Company Summary Financials News (Past 12 months) Index;2383409753;Reports;;;; Carnegie Mellon University Federal Credit Union; Copyright News Bites Pty Ltd Mar 27, 2020;; Company Profile;; Mar 27, 2020;;;; English; English;; Melbourne;Mar 27, 2020;Private Company Research Reports;2020;;https://search.proquest.com/docview/2383409753?accountid=11774;;;;;;;;;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:book&amp;genre=unknown&amp;sid=ProQ:ProQ%3Aabitrade&amp;atitle=&amp;title=Carnegie+Mellon+University+Federal+Credit+Union&amp;issn=&amp;date=2020-03-27&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=&amp;btitle=Carnegie+Mellon+University+Federal+Credit+Union&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central
Carnegie Mellon University Federal Credit Union;In this report: Company Summary Financials News (Past 12 months) Index;2371116779;Reports;;;; Carnegie Mellon University Federal Credit Union; Copyright News Bites Pty Ltd Mar 5, 2020;; Company Profile;; Mar 5, 2020;;;; English; English;; Melbourne;Mar 5, 2020;Private Company Research Reports;2020;;https://search.proquest.com/docview/2371116779?accountid=11774;;;;;;;;;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:book&amp;genre=unknown&amp;sid=ProQ:ProQ%3Aabitrade&amp;atitle=&amp;title=Carnegie+Mellon+University+Federal+Credit+Union&amp;issn=&amp;date=2020-03-05&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=&amp;btitle=Carnegie+Mellon+University+Federal+Credit+Union&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central
GitHub Inc;In this report: Company Summary Activities Ranking Acquisitions News (Past 12 months) News archives [14 articles] Patents Index;2353456378;Reports;;;;" GitHub Inc
518210"; Copyright News Bites Pty Ltd Feb 12, 2020;; Company Profile;; Feb 12, 2020;;;; English; English;; Melbourne;Feb 12, 2020;Private Company Research Reports;2020;;https://search.proquest.com/docview/2353456378?accountid=11774;;;;;;;;;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:book&amp;genre=unknown&amp;sid=ProQ:ProQ%3Aabitrade&amp;atitle=&amp;title=GitHub+Inc&amp;issn=&amp;date=2020-02-12&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=&amp;btitle=GitHub+Inc&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central
Carnegie Mellon University Federal Credit Union;In this report: Company Summary Financials News (Past 12 months) News archives [55 articles] Index;2352945448;Reports;;;; Carnegie Mellon University Federal Credit Union; Copyright News Bites Pty Ltd Feb 11, 2020;; Company Profile;; Feb 11, 2020;;;; English; English;; Melbourne;Feb 11, 2020;Private Company Research Reports;2020;;https://search.proquest.com/docview/2352945448?accountid=11774;;;;;;;;;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:book&amp;genre=unknown&amp;sid=ProQ:ProQ%3Aabitrade&amp;atitle=&amp;title=Carnegie+Mellon+University+Federal+Credit+Union&amp;issn=&amp;date=2020-02-11&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=&amp;btitle=Carnegie+Mellon+University+Federal+Credit+Union&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central
Development of online learning groups based on MBTI learning style and fuzzy algorithm;"ABSTRACT Group development is an initial step and an important influence on learning collaborative problem solving (CPS) based on the digital learning environment (DLE). Keywords: 21st century skills Collaborative problem solving Digital learning environment Group development Intelligent agent 10.12928/TELKOMNIKA.v18i1.14922 Received Aug 30, 2019 1.INTRODUCTION Collaborative problem solving (CPS) learning based on digital learning environment (DLE) is an effort to realize 21st century skills [1-6]. Background research, issues, goal setting, and general overview are explained in section 1; research method research is discussed in section 2; section 3 discusses results and analysis; development of intelligent agents on the SKACI platform is discussed in section 3.1; experiments and analyzes of intelligent agents for group development CPS learning on the SKACI platform are discussed in section 3.2; and conclusions and suggestions research opportunities are further discussed in section 4. Intelligent agents for group development consist of 3 (three) main functional groups, namely: (1) classifying and ranking of MBTI LS attributes, (2) increasing LS MBTI Population with fuzzy algorithm, and (3) group formation algorithms based on MBTI rules.";2379529615;Scholarly Journals; School of Electrical Engineering and Informatics, Bandung Institute of Technology, Bandung, Indonesia;"Putro, Budi Laksono;Rosmansyah, Yusep;Suhardi";;; © 2020. This work is published under https://creativecommons.org/licenses/by/3.0 (the “License”). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.;; General Information;; Feb 2020;;1693-6930;1; English; English; 199-207; Yogyakarta;Feb 2020;TELKOMNIKA;2020;18;https://search.proquest.com/docview/2379529615?accountid=11774;;;;;; 199;; Problem solving , Population , Software , Research methodology , Productivity , Intelligent agents , Business metrics , Group dynamics , Cognitive style , School environment , Optimization , Skills , Quantitative analysis , Algorithms , Collaboration , 21st century , Algorithms , Functional groups , Machine learning , Collaborative learning , Leadership , Distance learning , Problem solving , Skills;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahightechjournals&amp;atitle=Development+of+online+learning+groups+based+on+MBTI+learning+style+and+fuzzy+algorithm&amp;title=TELKOMNIKA&amp;issn=16936930&amp;date=2020-02-01&amp;volume=18&amp;issue=1&amp;spage=199&amp;au=Putro%2C+Budi+Laksono%3BRosmansyah%2C+Yusep%3BSuhardi&amp;isbn=&amp;jtitle=TELKOMNIKA&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central,SciTech Premium Collection
Campus Technology;In this report: Company Summary Activities Financials News (Past 12 months) News archives [77 articles] Index;2343434354;Reports;;;; Campus Technology; Copyright News Bites Pty Ltd Jan 10, 2020;; Company Profile;; Jan 10, 2020;;;; English; English;; Melbourne;Jan 10, 2020;Private Company Research Reports;2020;;https://search.proquest.com/docview/2343434354?accountid=11774;;;;;;;;;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:book&amp;genre=unknown&amp;sid=ProQ:ProQ%3Aabitrade&amp;atitle=&amp;title=Campus+Technology&amp;issn=&amp;date=2020-01-10&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=&amp;btitle=Campus+Technology&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central
The use of a wiki to boost open and collaborative learning in a Spanish university;"Spanish universities are attempting to offer a more flexible and higher- quality education that is adapted to new social demands. As a result, they are offering a series of technological resources in both university management, as well as, in teaching and research - developments which are encouraged by the educational convergence process, occurring within the European Higher Education Area. In this article, we analyze how a group of university teachers seeks to promote an experience of active collaboration and open education amongst their students through the creation of a Wikipedia site. The goal was to promote a different, more flexible teaching system, where both the teacher and the students break away from their classic roles. This experience was started in order to achieve the following results 1) motivate learning, 2) encourage active-collaborative learning 3) create a dictionary of the terms related to political science that helps to explain key concepts to students and the public, and 3) improve the quality of education. Despite facing certain obstacles, the results were positive the students became committed to this practice, learned to collaborate in groups, and solved problems by interacting with their classes; their interest in subjects was increased, and useful tools for other people were created. Moreover, the teachers introduced new pedagogical methods in their classes and made learning relate to their students in a different way. In short, the results show that the use of wiki is effective in improving university teaching. https//doi.org/10.34105/j.kmel.2020.12.001";2399900854;Scholarly Journals;;"Gema Sánchez Medero;Gema Pastor Albaladejo";;; © 2020. This work is published under https://creativecommons.org/licenses/by/4.0/  (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.;; Journal Article;; 2020;;2073-7904;1; English; English; 1-17; Hong Kong;2020;Knowledge Management & E-Learning;2020;12;https://search.proquest.com/docview/2399900854?accountid=11774;;;;;; 1;; Teaching , Students , Learning , Resource management , Collaborative learning , Education , Education , Colleges & universities , Students , Teachers;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahightechjournals&amp;atitle=The+use+of+a+wiki+to+boost+open+and+collaborative+learning+in+a+Spanish+university&amp;title=Knowledge+Management+%26+E-Learning&amp;issn=20737904&amp;date=2020-01-01&amp;volume=12&amp;issue=1&amp;spage=1&amp;au=Gema+S%C3%A1nchez+Medero%3BGema+Pastor+Albaladejo&amp;isbn=&amp;jtitle=Knowledge+Management+%26+E-Learning&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central,SciTech Premium Collection
Investigating the use of LEGO® Bricks in education and training: A systematic literature review;In spite of increasing attention paid for LEGO® as a learning tool rather than a child toy, teaching practices and methodologies in the use of LEGO® varies according to educational contexts. The purpose of this paper is to investigate various educational contexts of LEGO® usage in higher education and to identify trends of teaching practices. A systematic literature review was conducted on the use of LEGO® bricks in education and training using an exploratory sampling approach. 298 articles in total were explored in internationally recognized journal databases using keyword search and 26 articles were selected for detailed review process. We found that there is a clear distinction in LEGO® usage between learning facilitation and thinking facilitation and also between individual application and group application. A simple typology with four quadrants is proposed on the basis of our findings for facilitating novice educators to introduce LEGO® to their pedagogical design.;2389241150;Conference Papers & Proceedings; National University of Singapore, 25 Lower Kent Ridge Rd, 119081 Singapore , National University of Singapore, 25 Lower Kent Ridge Rd, 119081 Singapore , Ristumeiakn University, 2-150, Iwakura, Ibaraki, Osaka, 567- 8570, Japan;"Liang, Desmond Ng Yong;Yun, Florence Ng Jia;Minato, Nobuaki";;; Copyright The International Society for Professional Innovation Management (ISPIM) 2020;; Conference Proceedings;; 2020;;;; English; English; 1-15; Manchester;2020;ISPIM Conference Proceedings;2020;;https://search.proquest.com/docview/2389241150?accountid=11774;;;;;; 1;; Teaching , Higher education , Students , Quadrants , Science , Learning , Trends , Studies , Education , Methods , Literature reviews , Systematic review , Teachers , Bricks , Training , Robotics , Literature reviews;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=proceeding&amp;sid=ProQ:ProQ%3Aabiglobal&amp;atitle=Investigating+the+use+of+LEGO%26reg%3B+Bricks+in+education+and+training%3A+A+systematic+literature+review&amp;title=ISPIM+Conference+Proceedings&amp;issn=&amp;date=2020-01-01&amp;volume=&amp;issue=&amp;spage=1&amp;au=Liang%2C+Desmond+Ng+Yong%3BYun%2C+Florence+Ng+Jia%3BMinato%2C+Nobuaki&amp;isbn=&amp;jtitle=ISPIM+Conference+Proceedings&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central,SciTech Premium Collection
