Title;Abstract;StoreId;AccessionNumber;AlternateTitle;ArticleType;AuthorAffiliation;Authors;coden;companies;contractNumber;copyright;digitalObjectIdentifier;documentType;elecISSN;elecPubDate;entryDate;isbn;issn;issue;language;languageOfSummary;originalTitle;pages;placeOfPublication;pubdate;pubtitle;publicationType;year;publisher;sourceAttrib;volume;DocumentURL;classification;classificationCodes;documentFeatures;majorClassificationCodes;notes;startPage;subjectClassifications;subjectHeadings;subjectTerms;subjects;FindACopy;Database
Using research methods courses to teach students about sustainable development – a three-phase model for a transformative learning experience;Purpose Learning about sustainable development in dedicated curricula can be beneficial for students’ personal and professional development and societies alike. However, for various reasons the implementation of sustainable development modules in existing curricula can be difficult in many fields of study. This paper aims to propose an alternative route to give students the chance to learn about sustainable development without the need to change the structure of their study program. Design/methodology/approach The current paper elaborates on the idea that many fields of study have mandatory courses on empirical research methods and these courses can function as a platform to teach applied empirical research methods in combination with education on sustainable development. A three-phase model is proposed to implement sustainable development topics in existing curricula, taking students’ current methodological competency level into account. Findings The proposed model provides a chance to combine education on sustainability with thorough training in scientific research methods. Example projects and evaluation results from an existing social science curriculum and its integration into a real-world laboratory on sustainable energy use illustrate the different phases and their goals. Originality/value The model offers the opportunity to implement education on sustainability into existing curricula without the need for difficult structural changes. It extends students’ learning on sustainability without impairing their learning of research methods. A discussion of the model’s limitations and boundary conditions helps to understand its potential use cases and challenges.;2392927725;;;Scholarly Journals;;"Müller, Patrick A;Bäumer, Thomas;Silberer, Jan;Zimmermann, Stefan";;;; © 2020. This work is published under http://creativecommons.org/licences/by/4.0 (the “License”). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.; 10.1108/IJSHE-08-2019-0252; Journal Article;;; 2020;;1467-6370;3; English; English;; 427-439; Bradford;2020;International Journal of Sustainability in Higher Education;;2020;;;21;https://search.proquest.com/docview/2392927725?accountid=11774;;;;; 2019-08-29 (Received) , 2019-11-08 (Revised) , 2020-01-09 (Revised) , 2020-01-10 (Accepted); 427;;; Teaching , Higher education , Students , Boundary conditions , Curricula , Professional development , Phase transitions , Boundary conditions , Researchers , Curricula , Social sciences , Students , Case studies , Three phase , Sustainable use , Research methodology , Reflective teaching , Renewable energy , Environmental education , Problems , Learning , Experiments , Education , Research methods , Society , Teaching methods , Sustainable development , Sustainable development , Learning , Sustainable development , Boundary conditions , Sustainable development , Energy consumption , Education , Learning; Project-based learning , Transformative learning , Higher education for sustainable development , Empirical research methods , Real-world laboratories;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Using+research+methods+courses+to+teach+students+about+sustainable+development+%26ndash%3B+a+three-phase+model+for+a+transformative+learning+experience&amp;title=International+Journal+of+Sustainability+in+Higher+Education&amp;issn=14676370&amp;date=2020-04-01&amp;volume=21&amp;issue=3&amp;spage=427&amp;au=M%C3%BCller%2C+Patrick+A%3BB%C3%A4umer%2C+Thomas%3BSilberer%2C+Jan%3BZimmermann%2C+Stefan&amp;isbn=&amp;jtitle=International+Journal+of+Sustainability+in+Higher+Education&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1108%2FIJSHE-08-2019-0252";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
Applying Agile across the IT Curriculum;Agile is emerging as a new paradigm for organizations across a variety of industry sectors because Agile helps teams manage and adapt quickly to change. In order to provide our students with workforce ready skills and better performance in group projects, a regional campus Computer and Information Technology (CIT) department began implementing Agile across its curriculum. After a visit to a local business who underwent an Agile transformation and is now using Agile for all their teams, they said that understanding the culture of Agile is more important than the practices themselves. Revising our curriculum allows us to give our students the advantage of learning how to be Agile and what it means to thrive in an Agile culture.;2396852371; EJ1246230;;Scholarly Journals;;"Hulshult, Andrea;Woods, David M.";;;;;; Article , Report , 080: Journal Articles , 143: Reports - Research; 1545-679X;; Feb 2020;;;1; English; English;; 14-21;;Feb 2020;Information Systems Education Journal; Scholarly Journals , Reports;2020; http://isedj.org; ERIC, © Information Systems and Computing Academic Professionals;18;https://search.proquest.com/docview/2396852371?accountid=11774;;;;;; 14;;;  5185ER5 10713ER5  5168 10669 ,  3282ER5 10713ER5  3268 10669 ,  10719ER5  10675 ,  10685ER5 4527ER5 912ER5  10642 4511 909 ,  5611ER5 9726ER5 1ER5  5592 9690 1 ,  1305ER5 8652ER5  1300 8620 ,  8473ER5 1823ER5 9339ER5 5258ER5  8442 1814 9306 5241 ,  10709ER5  10666 ,  5723ER5 2799ER5  5704 2787 ,  8284ER5  8254 ,  2532ER5 3198ER5 2799ER5  2521 3184 2787 ,  10664ER5 3241ER5 6603ER5  10621 3227 6582 ,  2065ER5 5172ER5 8290ER5 3164ER5  2054 5155 8260 3150 ,  1783ER5 3795ER5 9280ER5 3431ER5 5722ER5 4925ER5 8950ER5 8043ER5 4558ER5 8297ER5  1774 3780 9247 3417 8016 4542 5703 4908 8917 8267 ,  10608ER5 9048ER5  10565 9015; Higher Education , Postsecondary Education;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeric&amp;atitle=Applying+Agile+across+the+IT+Curriculum&amp;title=Information+Systems+Education+Journal&amp;issn=1545-679X&amp;date=2020-02-01&amp;volume=18&amp;issue=1&amp;spage=14&amp;au=Hulshult%2C+Andrea%3BWoods%2C+David+M.&amp;isbn=&amp;jtitle=Information+Systems+Education+Journal&amp;btitle=&amp;rft_id=info:eric/EJ1246230&amp;rft_id=info:doi/";Social Science Premium Collection
The use of open data as a material for learning;Open data has potential value as a material for use in learning activities. However, approaches to harnessing this are not well understood or in mainstream use in education. In this research, early adopters from a diverse range of educational projects and teaching settings were interviewed to explore their rationale for using open data in teaching, how suitable activity designs could be achieved, and the practical challenges of using open data. A thematic analysis was conducted to identify patterns and relationships in these open data-based practices that have already emerged. A document analysis of teaching materials and other related artefacts was used to augment and validate the findings. Drawing on this, common approaches and issues are identified, and a conceptual framework to support greater use of open data by educators is described. This paper also highlights where existing concepts in education and educational technology research, including inquiry-based learning, authenticity, motivation, dialogue, and personalisation can help us to understand the value and challenges of using open data in education.;2282313378;;;Scholarly Journals; The Open University, Institute of Educational Technology, Learning and Teaching Innovation, Milton Keynes, UK (GRID:grid.10837.3d) (ISNI:0000000096069301);Coughlan, Tim;;;; Educational Technology Research and Development is a copyright of Springer, (2019). All Rights Reserved. This work is published under http://creativecommons.org/licenses/by/4.0/ (the “License”). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.; 10.1007/s11423-019-09706-y; Journal Article;; 2019-08-29; Feb 2020;;1042-1629;1; English; English;; 383-411; New York;Feb 2020;Educational Technology, Research and Development;;2020;;;68;https://search.proquest.com/docview/2282313378?accountid=11774;;;;; 2019-08-21 (Registration); 383;;; Open data , Education; Open data , Open education , Authentic learning , Inquiry-based learning , Project-based Learning , Personalisation;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apsychology&amp;atitle=The+use+of+open+data+as+a+material+for+learning&amp;title=Educational+Technology%2C+Research+and+Development&amp;issn=10421629&amp;date=2020-02-01&amp;volume=68&amp;issue=1&amp;spage=383&amp;au=Coughlan%2C+Tim&amp;isbn=&amp;jtitle=Educational+Technology%2C+Research+and+Development&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1007%2Fs11423-019-09706-y";ProQuest Central,Social Science Premium Collection
Integrating CAD/CAE/CAM in Engineering Curricula: A Project-Based Learning Approach;Problem-based learning (PBL) approaches are well-accepted and disseminated and have been intensively employed in several engineering programs. This article aims to present a teaching experience in which PBL was applied in one course of a mechanical engineering graduation program. The PBL approach applied is described step-by-step as well as the goals and constraints related to Computer-Aided Design, Engineering and Manufacturing (CAD/CAE/CAM) technologies employed in this particular case. The evaluation process is described, as well as the quantitative results, and also the results obtained from questionnaires answered by the students at the end of the PBL experience. Additionally, the team’s technical success in solving the proposed CAD/CAE/CAM problems was also taken into account. This PBL approach provided the students with the required autonomy to develop their argumentative skills within the team, defending their ideas, and at the same time, promoting self-criticism and ethical and impartial judgment among the other team members.;2397362732;;;Scholarly Journals;;"Fernandes, Fábio A O;Júnior, Nilo Fuchter;Anderson Daleffe;Fritzen, Daniel;Ricardo J Alves de Sousa";;;; © 2020. This work is licensed under http://creativecommons.org/licenses/by/3.0/  (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.; 10.3390/educsci10050125; Journal Article;; 2020-04-28; 2020;;;5; English; English;;; Basel;2020;Education Sciences;;2020;;;10;https://search.proquest.com/docview/2397362732?accountid=11774;;;;; 2020-02-26 (Received) , 2020-04-15 (Revised) , 2020-04-19 (Accepted); 125;;; Higher education , Educational technology , Students , Active learning , Teaching methods , Entrepreneurs , Curricula , Problem based learning , Knowledge , Mechanical engineering , Computer aided engineering--CAE , Questionnaires , Skills; active methodologies , project-based learning (PBL) , mechanical engineering , CAD/CAM/CAE;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Integrating+CAD%2FCAE%2FCAM+in+Engineering+Curricula%3A+A+Project-Based+Learning+Approach&amp;title=Education+Sciences&amp;issn=&amp;date=2020-01-01&amp;volume=10&amp;issue=5&amp;spage=125&amp;au=Fernandes%2C+F%C3%A1bio+A+O%3BJ%C3%BAnior%2C+Nilo+Fuchter%3BAnderson+Daleffe%3BFritzen%2C+Daniel%3BRicardo+J+Alves+de+Sousa&amp;isbn=&amp;jtitle=Education+Sciences&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.3390%2Feducsci10050125";ProQuest Central,Social Science Premium Collection
Fostering Environmental Awareness with Smart IoT Planters in Campuses;The decrease in the cost of sensors during the last years, and the arrival of the 5th generation of mobile technology will greatly benefit Internet of Things (IoT) innovation. Accordingly, the use of IoT in new agronomic practices might be a vital part for improving soil quality, optimising water usage, or improving the environment. Nonetheless, the implementation of IoT systems to foster environmental awareness in educational settings is still unexplored. This work addresses the educational need to train students on how to design complex sensor-based IoT ecosystems. Hence, a Project-Based-Learning approach is followed to explore multidisciplinary learning processes implementing IoT systems that varied in the sensors, actuators, microcontrollers, plants, soils and irrigation system they used. Three different types of planters were implemented, namely, hydroponic system, vertical garden, and rectangular planters. This work presents three key contributions that might help to improve teaching and learning processes. First, a holistic architecture describing how IoT ecosystems can be implemented in higher education settings is presented. Second, the results of an evaluation exploring teamwork performance in multidisciplinary groups is reported. Third, alternative initiatives to promote environmental awareness in educational contexts (based on the lessons learned) are suggested. The results of the evaluation show that multidisciplinary work including students from different expertise areas is highly beneficial for learning as well as on the perception of quality of the work obtained by the whole group. These conclusions rekindle the need to encourage work in multidisciplinary teams to train engineers for Industry 4.0 in Higher Education.;2391793718;;;Scholarly Journals;;"Tabuenca, Bernardo;García-Alcántara, Vicente;Gilarranz-Casado, Carlos;Barrado-Aguirre, Samuel";;;; © 2020. This work is licensed under http://creativecommons.org/licenses/by/3.0/  (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.; 10.3390/s20082227; Journal Article;; 2020-04-15; 2020;;;8; English; English;;; Basel;2020;Sensors;;2020;;;20;https://search.proquest.com/docview/2391793718?accountid=11774;;;;; 2020-03-14 (Received) , 2020-04-07 (Revised) , 2020-04-11 (Accepted); 2227;;; Microcontrollers , Indoor air quality , Students , Humidity , Collaboration , Internet of Things , Performance evaluation , Sensors , Curricula , Agricultural engineering , Internet of Things , Soil water , Teamwork , Discipline , Water quality , Performance evaluation , Soil improvement , Students , Irrigation systems , Wireless networks , Learning , Teams , Education , College campuses , Agronomy , Civil engineering , Sensors , Computer engineering , Industrial applications , Water consumption , Sustainable development , Automation , Actuators; computer-based systems , environmental awareness , Industry 4.0 , Internet of Things , irrigation systems , planter , project-based-learning , smart learning environments , teamwork;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aengineeringjournals&amp;atitle=Fostering+Environmental+Awareness+with+Smart+IoT+Planters+in+Campuses&amp;title=Sensors&amp;issn=&amp;date=2020-01-01&amp;volume=20&amp;issue=8&amp;spage=2227&amp;au=Tabuenca%2C+Bernardo%3BGarc%C3%ADa-Alc%C3%A1ntara%2C+Vicente%3BGilarranz-Casado%2C+Carlos%3BBarrado-Aguirre%2C+Samuel&amp;isbn=&amp;jtitle=Sensors&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.3390%2Fs20082227";ProQuest Central,SciTech Premium Collection
Evaluating Activation and Absence of Negative Effect: Gamification and Escape Rooms for Learning;"Innovation has allowed for and developed new ways of teaching and learning. Gamification is among the new training methodologies, which is a didactic approach based on the game structure with an attractive component for students. Within gamification, flipped learning and problem-based learning, escape rooms can be found as a technical aspect, which is focused on providing enigmas and tracks for the various educational content that students have assimilated through learning based on problem solving. The aim of this study is to identify how the use of gamification with the use of educational escape rooms affects activation and absence of a negative effect on students. 61 Master students of the Autonomous City of Ceuta participated in this case study. They were divided into three study groups (1 control group; 2 experimental groups) that followed different formative actions (control group—traditional; experimental groups—escape rooms). To achieve the objectives, a mixed research design based on quantitative and qualitative techniques was followed. The instrument used for data collection was the GAMEX (Gameful Experience Scale). The results reveal that the students who had taken a gamified formative action through escape rooms obtained better assessment results in the indicators concerning motivation, teamwork, commitment, activation, and absence of a negative effect on the learning process than those with the traditional methodology.";2384571634;;;Scholarly Journals;;"López-Belmonte, Jesús;Segura-Robles, Adrian;Fuentes-Cabrera, Arturo;Parra-González, María Elena";;;; © 2020. This work is licensed under http://creativecommons.org/licenses/by/3.0/  (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.; 10.3390/ijerph17072224; Journal Article;; 2020-03-26; 2020;;1661-7827;7; English; English;;; Basel;2020;International Journal of Environmental Research and Public Health;;2020;;;17;https://search.proquest.com/docview/2384571634?accountid=11774;;;;; 2020-02-28 (Received) , 2020-03-23 (Revised) , 2020-03-24 (Accepted); 2224;;; Problem solving , Teaching , Activation , Motivation , Qualitative analysis , Students , Brand loyalty , Problem based learning , Gamification , Education , Participation , Escape learning , Problem solving , Data collection , Problem solving , Research design , Learning , Objectives , Games , Teachers , Learning , Problem solving , Students; educational innovation , active methodologies , gamification , escape room , psychosocial factors , positive effects , improvement of indicators;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Asciencejournals&amp;atitle=Evaluating+Activation+and+Absence+of+Negative+Effect%3A+Gamification+and+Escape+Rooms+for+Learning&amp;title=International+Journal+of+Environmental+Research+and+Public+Health&amp;issn=16617827&amp;date=2020-01-01&amp;volume=17&amp;issue=7&amp;spage=2224&amp;au=L%C3%B3pez-Belmonte%2C+Jes%C3%BAs%3BSegura-Robles%2C+Adrian%3BFuentes-Cabrera%2C+Arturo%3BParra-Gonz%C3%A1lez%2C+Mar%C3%ADa+Elena&amp;isbn=&amp;jtitle=International+Journal+of+Environmental+Research+and+Public+Health&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.3390%2Fijerph17072224";ProQuest Central,SciTech Premium Collection
Teaching Natural Language Processing through Big Data Text Summarization with Problem-Based Learning;Natural language processing (NLP) covers a large number of topics and tasks related to data and information management, leading to a complex and challenging teaching process. Meanwhile, problem-based learning is a teaching technique specifically designed to motivate students to learn efficiently, work collaboratively, and communicate effectively. With this aim, we developed a problem-based learning course for both undergraduate and graduate students to teach NLP. We provided student teams with big data sets, basic guidelines, cloud computing resources, and other aids to help different teams in summarizing two types of big collections: Web pages related to events, and electronic theses and dissertations (ETDs). Student teams then deployed different libraries, tools, methods, and algorithms to solve the task of big data text summarization. Summarization is an ideal problem to address learning NLP since it involves all levels of linguistics, as well as many of the tools and techniques used by NLP practitioners. The evaluation results showed that all teams generated coherent and readable summaries. Many summaries were of high quality and accurately described their corresponding events or ETD chapters, and the teams produced them along with NLP pipelines in a single semester. Further, both undergraduate and graduate students gave statistically significant positive feedback, relative to other courses in the Department of Computer Science. Accordingly, we encourage educators in the data and information management field to use our approach or similar methods in their teaching and hope that other researchers will also use our data sets and synergistic solutions to approach the new and challenging tasks we addressed.;2384385480;;;Scholarly Journals; Department of Computer Science, Virginia Tech, VA 24061, USA , Department of Electrical and Computer Engineering, Virginia Tech, VA 24061, USA;"Li, Liuqing;Geissinger, Jack;Ingram, William A;Fox, Edward A";;;; © 2020. This work is published under  http://creativecommons.org/licenses/by-nc-nd/3.0  (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.; 10.2478/dim-2020-0003; Journal Article;; 2020-03-24; 2020;;;1; English; English;; 18-43; Warsaw;2020;Data and Information Management;;2020;;;4;https://search.proquest.com/docview/2384385480?accountid=11774;;;;; 2019-09-27 (Received) , 2020-01-21 (Accepted); 18;;; Teaching , Linguistics , Big Data , Problem based learning , Summaries , Positive feedback , Cloud computing , Task complexity , Websites , Teaching methods , Algorithms , Natural language processing , Information management , Natural language processing , Problem based learning , Information management , Students , Data sets , Graduate students; information system education , computer science education , problem-based learning , natural language processing , NLP , big data text analytics , machine learning , deep learning;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Acompscijour&amp;atitle=Teaching+Natural+Language+Processing+through+Big+Data+Text+Summarization+with+Problem-Based+Learning&amp;title=Data+and+Information+Management&amp;issn=&amp;date=2020-01-01&amp;volume=4&amp;issue=1&amp;spage=18&amp;au=Li%2C+Liuqing%3BGeissinger%2C+Jack%3BIngram%2C+William+A%3BFox%2C+Edward+A&amp;isbn=&amp;jtitle=Data+and+Information+Management&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.2478%2Fdim-2020-0003";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
What makes an online problem-based group successful? A learning analytics study using social network analysis;"Background Although there is a wealth of research focusing on PBL, most studies employ self-reports, surveys, and interviews as data collection methods and have an exclusive focus on students. There is little research that has studied interactivity in online PBL settings through the lens of Social Network Analysis (SNA) to explore both student and teacher factors that could help monitor and possibly proactively support PBL groups. This study adopts SNA to investigate how groups, tutors and individual student’s interactivity variables correlate with group performance and whether the interactivity variables could be used to predict group performance. Methods We do so by analyzing 60 groups’ work in 12 courses in dental education (598 students). The interaction data were extracted from a Moodle-based online learning platform to construct the aggregate networks of each group. SNA variables were calculated at the group level, students’ level and tutor’s level. We then performed correlation tests and multiple regression analysis using SNA measures and performance data. Results The findings demonstrate that certain interaction variables are indicative of a well-performing group; particularly the quantity of interactions, active and reciprocal interactions among students, and group cohesion measures (transitivity and reciprocity). A more dominating role for teachers may be a negative sign of group performance. Finally, a stepwise multiple regression test demonstrated that SNA centrality measures could be used to predict group performance. A significant equation was found, F (4, 55) = 49.1, p  &lt; 0.01, with an R2 of 0.76. Tutor Eigen centrality, user count, and centralization outdegree were all statistically significant and negative. However, reciprocity in the group was a positive predictor of group improvement. Conclusions The findings of this study emphasized the importance of interactions, equal participation and inclusion of all group members, and reciprocity and group cohesion as predictors of a functioning group. Furthermore, SNA could be used to monitor online PBL groups, identify important quantitative data that helps predict and potentially support groups to function and co-regulate, which would improve the outcome of interacting groups in PBL. The information offered by SNA requires relatively little effort to analyze and could help educators get valuable insights about their groups and individual collaborators.";2378937555;;;Scholarly Journals;;"Saqr, Mohammed;Nouri, Jalal;Vartiainen, Henriikka;Malmberg, Jonna";;;; © 2020. This work is licensed under http://creativecommons.org/licenses/by/4.0/  (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.; 10.1186/s12909-020-01997-7; Journal Article;; 2020-03-18; 2020;;;; English; English;; 1-11; London;2020;BMC Medical Education;;2020;;;20;https://search.proquest.com/docview/2378937555?accountid=11774;;;;;; 1;;; Teaching , Higher education , Group dynamics , Students , Medical education , Problems , Studies , Knowledge , Social network analysis , Medical research , Social networks , Researchers , Automation , Collaborative learning , Teachers; Learning analytics , Data analytics , Social network analysis , Social networking , Problem-based learning , Online learning , Small groups;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=What+makes+an+online+problem-based+group+successful%3F+A+learning+analytics+study+using+social+network+analysis&amp;title=BMC+Medical+Education&amp;issn=&amp;date=2020-01-01&amp;volume=20&amp;issue=&amp;spage=1&amp;au=Saqr%2C+Mohammed%3BNouri%2C+Jalal%3BVartiainen%2C+Henriikka%3BMalmberg%2C+Jonna&amp;isbn=&amp;jtitle=BMC+Medical+Education&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1186%2Fs12909-020-01997-7";ProQuest Central,Social Science Premium Collection
Effectiveness of Blended Learning in Nursing Education;Currently, teaching in higher education is being heavily developed by learning management systems that record the learning behaviour of both students and teachers. The use of learning management systems that include project-based learning and hypermedia resources increases safer learning, and it is proven to be effective in degrees such as nursing. In this study, we worked with 120 students in the third year of nursing degree. Two types of blended learning were applied (more interaction in learning management systems with hypermedia resources vs. none). Supervised learning techniques were applied: linear regression and k-means clustering. The results indicated that the type of blended learning in use predicted 40.4% of student learning outcomes. It also predicted 71.9% of the effective learning behaviors of students in learning management systems. It therefore appears that blended learning applied in Learning Management System (LMS) with hypermedia resources favors greater achievement of effective learning. Likewise, with this type of Blended Learning (BL) a larger number of students were found to belong to the intermediate cluster, suggesting that this environment strengthens better results in a larger number of students. BL with hypermedia resources and project-based learning increase students´ learning outcomes and interaction in learning management systems. Future research will be aimed at verifying these results in other nursing degree courses.;2372039986;;;Scholarly Journals;;"María Consuelo Sáiz-Manzanares;María-Camino Escolar-Llamazares;Álvar Arnaiz González";;;; © 2020. This work is licensed under http://creativecommons.org/licenses/by/3.0/  (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.; 10.3390/ijerph17051589; Journal Article;; 2020-03-01; 2020;;1661-7827;5; English; English;;; Basel;2020;International Journal of Environmental Research and Public Health;;2020;;;17;https://search.proquest.com/docview/2372039986?accountid=11774;;;;; 2020-01-15 (Received) , 2020-02-20 (Revised) , 2020-02-26 (Accepted); 1589;;; Teaching , Machine learning , Students , Deep learning , Collaboration , Artificial intelligence , School environment , Hypermedia , Blended learning , 21st century , Learning management systems , Resource management , Teachers , Management systems , Learning behavior , Students , Cluster analysis , Learning , Pharmacy , Interactive learning , Clustering , Education , Project management , Education , Taxonomy , Learning , Communications technology , System effectiveness , Metacognition , Nursing , Education , Information technology , Nursing , Management , Vector quantization; learning management system , higher education , nursing , data mining;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Asciencejournals&amp;atitle=Effectiveness+of+Blended+Learning+in+Nursing+Education&amp;title=International+Journal+of+Environmental+Research+and+Public+Health&amp;issn=16617827&amp;date=2020-01-01&amp;volume=17&amp;issue=5&amp;spage=1589&amp;au=Mar%C3%ADa+Consuelo+S%C3%A1iz-Manzanares%3BMar%C3%ADa-Camino+Escolar-Llamazares%3B%C3%81lvar+Arnaiz+Gonz%C3%A1lez&amp;isbn=&amp;jtitle=International+Journal+of+Environmental+Research+and+Public+Health&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.3390%2Fijerph17051589";ProQuest Central,SciTech Premium Collection
Immersive virtual reality to enforce teaching in engineering education;Prior studies on the use of digital prototyping and virtual reality (VR) in designing as well as evaluating new products have shown that VR reduces both development time and costs whilst augmenting student motivation and creativity. The current study demonstrates that VR and 3D prototyping in the context of project-based learning (PBL) promote effective communication, increase problem solving skills, and enhance learning outcomes. VR and digital prototyping have been extensively used in industries for the purpose of product design and usability evaluation. In the context of engineering education, many research studies have attempted to explore the effect of VR on teamwork, engagement, retention, and motivation. In this paper, VR is used in conjunction with PBL in self-directed approach to design and implement a product using 3D software whilst also using virtual reality immersive CAVE display to evaluate their design. The hypothesis is that the use of VR with a project-based-learning approach to facilitate the attainment of desirable goals in the engineering design project, improved achievement of course learning outcomes and promoted effective communication. According to the research findings, VR approach significantly affected the distribution of cumulative project grades. Students’ project grades improved, particularly the implementation component. In addition, the course outcomes related to project design were better achieved in VR approach. The communication and problem-solving skills were improved in the VR approach as compared to traditional approach.;2359905953;;;Scholarly Journals; Qatar University, Department of Computer Science and Engineering, Doha, Qatar (GRID:grid.412603.2) (ISNI:0000 0004 0634 1084);Halabi Osama;;;; Multimedia Tools and Applications is a copyright of Springer, (2019). All Rights Reserved. This work is published under https://creativecommons.org/licenses/by/4.0/ (the “License”). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.; 10.1007/s11042-019-08214-8; Journal Article;; 2019-12-04; Jan 2020;;1380-7501;3-4; English; English;; 2987-3004; Dordrecht;Jan 2020;Multimedia Tools and Applications;;2020;;;79;https://search.proquest.com/docview/2359905953?accountid=11774;;;;; 2019-09-12 (Registration) , 2018-12-02 (Received) , 2019-09-12 (Accepted) , 2019-07-06 (Rev-Recd); 2987;;; Design analysis , Displays , Learning , Design engineering , Communication , Engineering education , Virtual reality , Product design , Immersive virtual reality , Skills , Prototyping , Problem solving , Project design; Virtual reality , Interactive learning environments , 3D modeling , Project-based learning , First-year students;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aabiglobal&amp;atitle=Immersive+virtual+reality+to+enforce+teaching+in+engineering+education&amp;title=Multimedia+Tools+and+Applications&amp;issn=13807501&amp;date=2020-01-01&amp;volume=79&amp;issue=3-4&amp;spage=2987&amp;au=Halabi+Osama&amp;isbn=&amp;jtitle=Multimedia+Tools+and+Applications&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1007%2Fs11042-019-08214-8";ProQuest Central,SciTech Premium Collection
