"Document Title";Authors;"Author Affiliations";"Publication Title";Date Added To Xplore;"Publication Year";"Volume";"Issue";"Start Page";"End Page";"Abstract";"ISSN";ISBNs;"DOI";Funding Information;PDF Link;"Author Keywords";"IEEE Terms";"INSPEC Controlled Terms";"INSPEC Non-Controlled Terms";"Mesh_Terms";Article Citation Count;"Reference Count";"License";"Online Date";Issue Date;"Meeting Date";"Publisher";Document Identifier
"Industrial Based Final Year Engineering Projects: Problem Based Learning (PBL)";"N. A. Mohd Salleh; K. M. Yusof";"Faculty of Mechanical Engineering; Universiti Teknologi MARA Malaysia; Shah Alam; Selangor; 40450; Malaysia; Faculty of Chemical Engineering; Universiti Teknologi Malaysia; Centre for Engineering Education; Johor Bahru";"2017 7th World Engineering Education Forum (WEEF)";"";"2017";"";"";"782";"786";"The success of an industry is partly the responsibility of engineering education programs in preparing competence engineers who can meet the changing expectations and needs of the industry in today's competitive environment. Engineering educators are expected to produce employable engineers that suit perfectly to each industry's needs. To accommodate to these demands; problem oriented project-based learning (PBL) based on industrial engineering problems are incorporated in the individual final year projects for mechanical engineering undergraduate students in Universiti Teknologi Mara Malaysia. This paper discusses the findings based on 13 students centered individual industrial projects with eight companies from 2015 to 2016. The objectives of this paper is to discuss the impact of individual industrial PBL based on the correlation between the results obtained from the individual industrial based projects with feedback from the industries and the students. 5point Likert Scale Surveys were administered to 13 students who had graduated and currently employed in obtaining students' perceptions on the 13 outcomes that should be gained throughout the industry oriented final year projects. The initial findings discovered that all the students obtained excellent grades and received positive feedbacks from the eight companies involved. This paper discusses individual industrial PBL; outcomes obtained through the industry oriented final year engineering projects; its benefits and potential in engineering education especially in improving the students competency; autonomy; relatedness as well as academic engagement. Nevertheless; there are challenges faced by engineering educators in making the quantum leap especially in more academic engagement with industries.";"";"978-1-5386-1523-2";"10.1109/WEEF.2017.8467149";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8467149";"Project-based learning;Problem-based learning;Engineering education;Industries";"Industries;Companies;Engineering education;Mechanical engineering;Automotive engineering;Australia;Reliability";"computer aided instruction;computer science education;educational institutions;engineering education;further education";"industrial based final year engineering projects;engineering education programs;competence engineers;mechanical engineering undergraduate students;individual industrial PBL;students competency;problem oriented project-based learning;Universiti Teknologi Mara Malaysia;5point Likert Scale Surveys";"";"1";"9";"";"";"";"";"IEEE";"IEEE Conferences"
"An Experience Report on Teaching Compiler Design Concepts Using Case-Based and Project-Based Learning Approaches";"D. Kundra; A. Sureka";"NA; Corp. Res.; ABB; Bangalore; India";"2016 IEEE Eighth International Conference on Technology for Education (T4E)";"";"2016";"";"";"216";"219";"Compiler design is a course that discusses ideas used in construction of programming language compilers. Students learn how a program written in high level programming language and designed for humans understanding is systematically converted into low level assembly language understood by machines. We propose and implement a Case-based and Project-based Learning environment for teaching important Compiler design concepts (CPLC) to B.Tech third year students of a Delhi University (India) college. A case is a text that describes a real life situation providing information but not solution. Previous research shows that case-based teaching helps students to apply the principles discussed in the class for solving complex practical problems. We divide one main project into sub-projects to give to students in order to enhance their practical experience of designing a compiler. To measure the effectiveness of case-based discussions; students complete a survey on their perceptions of benefits of case-based learning. The survey is analyzed using frequency distribution and chi square test of association. The results of the survey show that case-based teaching of compiler concepts does enhance students skills of learning; critical thinking; engagement; communication skills and team work.";"";"978-1-5090-6115-0";"10.1109/T4E.2016.052";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7814827";"Case-Based Learning;Cognitive Apprenticeship Model;Constructivism;Didactic Teaching;Problem-Based Learning;Project-Based Learning;Teaching Compiler Design.";"Education;Grammar;Robot sensing systems;Program processors;Mathematical model;Syntactics";"assembly language;computer science education;educational courses;high level languages;program compilers;teaching";"compiler design concept course;project-based learning;programming language compilers;high level programming language;low level assembly language;B.Tech third year students;Delhi University;case-based discussions;case-based learning;frequency distribution;chi square test;case-based teaching;critical thinking;communication skills;team work";"";"4";"13";"";"";"";"";"IEEE";"IEEE Conferences"
"Problem-based learning and project-based learning concepts and their applications to engineering education";"A. M. Rad; T. H. Popa; V. Mihon; B. Iancu";"Faculty of Automation and Computer Science; Computer Science Department; Technical University of Cluj-Napoca; Cluj-Napoca; Romania; Faculty of Automation and Computer Science; Computer Science Department; Technical University of Cluj-Napoca; Cluj-Napoca; Romania; Faculty of Automation and Computer Science; Computer Science Department; Technical University of Cluj-Napoca; Cluj-Napoca; Romania; Faculty of Automation and Computer Science; Computer Science Department; Technical University of Cluj-Napoca; Cluj-Napoca; Romania";"2017 16th RoEduNet Conference: Networking in Education and Research (RoEduNet)";"";"2017";"";"";"1";"6";"Several technical challenges should be taken into consideration when setting up hands-on laboratories; workshops and projects while the educational service providers need powerful; effective; stable and easy-to-use systems. In order to meet those requirements; such systems are designed and deployed as affordable services that request stability; reliability; availability; autonomy and resilience. This article presents an interactive learning system that complies with microservices architecture and supports individual study and collaborative learning approaches aiming at involving learners in solving problems on their own; then developing complex team projects based on individual contributions.";"2247-5443";"978-1-5386-3411-0";"10.1109/ROEDUNET.2017.8123746";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8123746";"blended learning;PBL;PjBL;continuous integration;cloud;virtualization;microservices";"Cloud computing;Tools;Automation;Conferences;Training;Resource management";"computer aided instruction;engineering education;groupware;interactive systems;learning (artificial intelligence)";"engineering education;technical challenges;hands-on laboratories;workshops;educational service providers;easy-to-use systems;affordable services;interactive learning system;microservices architecture;collaborative learning;complex team projects;stability;problem-based learning;project-based learning concepts";"";"3";"13";"";"";"";"";"IEEE";"IEEE Conferences"
"Exploring traditional and workbench-style kits to support project- and problem-based learning";"Z. Cochran; B. DiSalvo";"College of Computing; Georgia Institute of Technology; Atlanta; United States; College of Computing; Georgia Institute of Technology; Atlanta; United States";"2016 IEEE Frontiers in Education Conference (FIE)";"";"2016";"";"";"1";"7";"As project- and problem-based physical prototyping activities become more common in computing and engineering classrooms; it is important to design kits to support desired learning outcomes. The work explored in this paper looks at the effects of organizing physical prototyping materials in individualized (traditional) kits and community (workbench) kits. The findings suggest a correlation in promoting project- or problem-based approaches with organizing materials as traditional or workbench kits.";"";"978-1-5090-1790-4";"10.1109/FIE.2016.7757624";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7757624";"DIY;Making;Kits;Project-Based Learning;Problem-Based Learning";"Prototypes;Interviews;Manuals;Computer science;Ubiquitous computing;Mobile communication;Buildings";"computer aided instruction;computer science education;engineering education";"physical prototyping materials;computing classrooms;engineering classrooms;project-based physical prototyping activities;problem-based physical prototyping activities;project-based learning;problem-based learning;workbench-style kits";"";"";"11";"";"";"";"";"IEEE";"IEEE Conferences"
"Project Based Learning for Internet of Things and Data Analytics: Experience Report of Learning from ET601X";"K. G. Srinivasa; S. B. J.";"Dept. of Comput. Sci. & Eng.; MS Ramaiah Inst. of Technol.; Bangalore; India; Department of Computer Science and EngineeringMS Ramaiah Institute of Technology; Bangalore";"2016 IEEE Eighth International Conference on Technology for Education (T4E)";"";"2016";"";"";"262";"263";"Project Based Learning (PBL) is Learner-centered Educational method. In PBL; the undergraduate computer science and engineering students are progressively given responsibility for their education. PBL for a given course make students to work together to solve real-world problem for the given course. In this course; students are made to learn to solve the problems related to Data Analytics (DA) and Internet of Things (IoT) using the principles of engineering in a software development. As a part of this course; the students are required to satisfy many checkpoints of DA and IOT in their chosen problem statement. The students need to follow different phases of software development which includes requirement analysis; planning and scheduling; design and coding; testing to accomplish the DA and IOT checkpoints. The experience of learning from the Education Technology Course (ET601X) is heavily used for effective course delivery.";"";"978-1-5090-6115-0";"10.1109/T4E.2016.070";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7814845";"Project Based learning (PBL);Software Engineering;Data Analytics;Internet of Things.";"Internet of Things;Data analysis;Software;Computer science;Problem-solving;Educational technology";"computer aided instruction;computer science education;data handling;educational courses;Internet of Things;software engineering";"project based learning;Internet of Things;ET601X;learner-centered educational method;PBL;undergraduate computer science and engineering students;DA;IoT;software development;education technology course";"";"3";"5";"";"";"";"";"IEEE";"IEEE Conferences"
"Management Enhanced Double PBL Based Reform in Advanced Programming Design Course";"Y. Zhang; Y. Liu";"Sch. of Comput. Software; Tianjin Univ.; Tianjin; China; Sch. of Comput. Software; Tianjin Univ.; Tianjin; China";"2012 IEEE 14th International Conference on High Performance Computing and Communication & 2012 IEEE 9th International Conference on Embedded Software and Systems";"";"2012";"";"";"1658";"1663";"Lacking real-world experience in software engineering has always been a problem in Software Engineering education. The aim of this paper is to solve this problem by taking a series of reformation during the ""Advanced Programming Design"" course. The course was offered to Junior Students majoring in Software Engineering. This course combined the double PBL (Project based learning and Problem based learning) with Engineering Education methodology; to improve the students' ability in independent problem-solving and to deepen students' understanding in Software Engineering. Besides; graduate students were assigned as tutor of each team to help the undergraduate students; simultaneously; with their management and communication ability enhanced. The survey result based on purposed method was also presented in this paper.";"";"978-1-4673-2164-8";"10.1109/HPCC.2012.244";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6332379";"double PBL;Problem based learning;Project based learning;course practice;engineering ideas;software engineering";"Software;Education;Software engineering;Monitoring;Programming profession;Computer languages";"computer aided instruction;computer science education;educational courses;programming;psychology;software engineering";"management enhanced double PBL based reform;advanced programming design course;software engineering education;project based learning;problem based learning;independent problem solving ability;students ability improvement;students understanding;graduate students;undergraduate students;communication ability";"";"";"12";"";"";"";"";"IEEE";"IEEE Conferences"
"Problem-based learning. An experience on the inclusion of quality problems in Educational Software Engineering";"Y. R. Peña; J. R. Hechavarría Hernández; M. L. Vázquez";"Faculty of Mathematics and Informatics; University of Holguin; Holguin; Cuba; Faculty of Architecture and Design; Catholic University of Santiago de Guayaquil; Guayaquil; Ecuador; Faculty of Mathematical and Physical Sciences; University of Guayaquil; Guayaquil; Ecuador";"2018 World Engineering Education Forum - Global Engineering Deans Council (WEEF-GEDC)";"";"2018";"";"";"1";"6";"This article presents an experience developed with students of fourth year of the Computer Engineering major with the support of educative software in the teaching-learning process of quality problems in Software Engineering. It also incorporates a procedure as a guide during their laboratory practices to perform the process of quality measurement to software selected as case studies with the support of the tool developed. It shows that the development of educative software based on the pedagogical model of Problem-Based Learning; PBL; promotes in university students the motivation towards the search and production of knowledge in virtual spaces and environments with innovative characteristics. The results of the analysis of opinions of specialists in software development; as well as of professors who teach the subject; indicate that the computer tool contributes to self-improvement through the requirement of the use of specialized tools in quality issues in order to perform the or the roles in the execution of a project; mainly in the workflows dedicated to quality management.";"";"978-1-5386-7764-3";"10.1109/WEEF-GEDC.2018.8629761";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8629761";"quality;quality metrics;problem-based learning;software engineering;educational software";"Software;Tools;Software measurement;Task analysis;Software engineering;Education";"computer aided instruction;computer science education;educational courses;educational institutions;quality management;software engineering;teaching";"educative software;teaching-learning process;laboratory practices;university students;software development;computer tool;quality management;innovative characteristics;problem-based learning;computer engineering;software engineering";"";"1";"13";"";"";"";"";"IEEE";"IEEE Conferences"
"Project-Based Learning with Examples from Industry in University Courses: An Experience Report from an Undergraduate Requirements Engineering Course";"M. Daun; A. Salmon; T. Weyer; K. Pohl; B. Tenbergen";"paluno - The Ruhr Inst. for Software Technol.; Univ. of Duisburg-Essen; Essen; Germany; paluno - The Ruhr Inst. for Software Technol.; Univ. of Duisburg-Essen; Essen; Germany; paluno - The Ruhr Inst. for Software Technol.; Univ. of Duisburg-Essen; Essen; Germany; paluno - The Ruhr Inst. for Software Technol.; Univ. of Duisburg-Essen; Essen; Germany; Dept. of Comput. Sci.; State Univ. of New York; Oswego; NY; USA";"2016 IEEE 29th International Conference on Software Engineering Education and Training (CSEET)";"";"2016";"";"";"184";"193";"A significant challenge within university education; especially with regard to the teaching of highly theoretical topics like requirements engineering; is to maintain students' interest and motivation whilst addressing the core concepts that will enable students to work in industry upon graduation. It has long been established that experience-based learning can aid in both these feats: On the one hand; providing students with industrial case examples rather than ""dry"" academic assignments can increase student interest and motivation. On the other hand; a case example-centric classroom approach can yield a rich learning environment which fosters collaboration; communication; and self-directed exploration of the instructed principles. In previous work; we have reported on our experience in changing a graduate requirements engineering course towards using case examples based on real industry projects. As more and more curricula change in advance of project-based teaching paradigms; this paper discusses results from the long-term application of such a course design in a graduate setting. In addition; this paper reports our findings from the replication in an undergraduate requirements engineering course indicating that project-based learning techniques foster different teaching goals in graduate and undergraduate settings.";"2377-570X";"978-1-5090-0765-3";"10.1109/CSEET.2016.15";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7474483";"project-based learning;problem-based learning;industry-oriented teaching;undergraduate students;industrial case example;case example";"Education;Industries;Requirements engineering;Software engineering;Problem-solving;Knowledge discovery;Stakeholders";"computer aided instruction;computer science education;educational courses;formal verification";"project-based learning;university course;undergraduate requirements engineering course;university education;experience-based learning;case example-centric classroom approach;project-based teaching";"";"12";"31";"";"";"";"";"IEEE";"IEEE Conferences"
"Active learning environment: Applying the problem based learning approach to Amoeba Distributed Operating System";"M. Mishra; V. K. Mishra; H. R. Sharma";"Shri Shankaracharya college of Engineering & Technology; India; Bhilai Institute of Technology; India; Chhatrapati shivaji Institute of Technology Chhattisgarh; India";"3rd International Conference on Advances in Recent Technologies in Communication and Computing (ARTCom 2011)";"";"2011";"";"";"133";"138";"Problem-based learning refers to any learning environment in which the problem drives the learning; because it is posed m such a way that students realize they need to acquire new knowledge before the problem can be solved. By the help of this paper we are trying to present the experience of a structured problem-based learning approach to the teaching of an introductory study module on distributed operating system in the thud year of an Computer Engineering graduate program. Amoeba Distributed Operating System design problem was posed to students at the beginning of the module. Small groups of students worked on a cooperative learning project for six weeks; while the teacher acted as the coach and the facilitator of knowledge acquisition. Written reports were collected each week and the student assessments of the learning environment were measured. The paper closes with a list of recommendations intended to assist academics interested in adopting a similar approach.";"";"978-8-19106-918-1";"10.1049/ic.2011.0065";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6193554";"Cooperative learning;distributed operating system;problem-based learning (PBL)";"";"computer science education;distributed processing;knowledge management;operating systems (computers);teaching";"active learning environment;problem based learning approach;structured problem-based learning approach;introductory study module teaching;computer engineering graduate program;Amoeba distributed operating system design problem;cooperative learning project;knowledge acquisition;student assessment";"";"";"";"";"";"";"";"IET";"IET Conferences"
"Multimedia teaching and learning for computer networks subject in the direct problem-based learning approach: A pilot study";"S. Winarno; K. S. Muthu; L. S. Ling";"Faculty of Computer Science; Dian Nuswantoro University; Indonesia; Faculty of Information Science & Tech; Multimedia University; Malaysia; Faculty of Information Science & Tech; Multimedia University; Malaysia";"2017 International Seminar on Application for Technology of Information and Communication (iSemantic)";"";"2017";"";"";"48";"51";"This study investigates the impacts of multimedia teaching and learning for Computer Networks subject in the direct problem-based learning (m-DPBL) approach; especially impacts of the students' attitude; students' interest; students' creative thinking and students' teamwork skills. Third-year students (N=30) who took Computer Networks subject from Informatics Engineering department in Dian Nuswantoro University Indonesia and one Computer Networks lecturer in the sample class participated in this pilot study. The result of this pilot study shows that most of the students were agreed that the m-DPBL could be used as a medium of instruction in the classroom.";"";"978-1-5386-3085-3";"10.1109/ISEMANTIC.2017.8251842";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8251842";"Multimedia Teaching and Learning;Direct Problem-Based Learning;Computer Networks";"Multimedia communication;Computer networks;Routing;Teamwork;Seminars;Problem-solving";"computer aided instruction;computer networks;computer science education;multimedia computing;teaching";"third-year students;computer networks subject;Computer Networks lecturer;learning approach;Multimedia teaching;multimedia learning;direct problem-based learning;m-DPBL approach;student attitude;student interest;student creative thinking;teamwork skills;Informatics Engineering department;Dian Nuswantoro University Indonesia";"";"";"10";"";"";"";"";"IEEE";"IEEE Conferences"
