Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Publisher,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID
"Eraslan S., Kopec-Harding K., Jay C., Embury S.M., Haines R., Cortés Ríos J.C., Crowther P.","55785840000;55751152100;16642730800;7007099773;8930723100;36631916800;57216645895;","Integrating GitLab metrics into coursework consultation sessions in a software engineering course",2020,"Journal of Systems and Software","167",, 110613,"","",,,"10.1016/j.jss.2020.110613","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084171536&doi=10.1016%2fj.jss.2020.110613&partnerID=40&md5=2e071c4a7ed30bc6ef99a7caf87b4453","Software developers use version control systems for collaborative coding. These systems are integrated into several software development platforms (including GitLab and GitHub) which support additional software engineering functionalities. Using these platforms in an educational context allows students to gain skills relevant to industry, whilst providing a means of keeping track of their activities. In this paper, we investigate the effect of presenting teams of students with GitLab metrics about their performance at coursework consultation sessions (checkpoint sessions), with a particular focus on the number of issues assigned and completed, and the number of commits made to the repository. A comparative analysis of project marks in two consecutive academic years indicates that these checkpoint sessions may lead to better student outcomes. An interview study with students and teaching assistants identified viewing the GitLab metrics in the checkpoints as an opportunity to see the relative contributions of team members and address resulting issues, and as a catalyst for improving engagement with the team project. The study also identified drawbacks of using the metrics too simplistically, and suggested that it was important to consider the quality and amount of written code, as well as the number of times someone committed to the repository. © 2020 Elsevier Inc.","Elsevier Inc.","J Syst Software",Article,"Final",,Scopus,2-s2.0-85084171536
"Tabuenca B., García-Alcántara V., Gilarranz-Casado C., Barrado-Aguirre S.","55843082300;6506490140;57216416873;57216418506;","Fostering environmental awareness with smart IoT planters in campuses",2020,"Sensors (Switzerland)","20","8", 2227,"","",,,"10.3390/s20082227","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083432189&doi=10.3390%2fs20082227&partnerID=40&md5=829972a7861b5a5bc20f744a96d53c67","The decrease in the cost of sensors during the last years, and the arrival of the 5th generation of mobile technology will greatly benefit Internet of Things (IoT) innovation. Accordingly, the use of IoT in new agronomic practices might be a vital part for improving soil quality, optimising water usage, or improving the environment. Nonetheless, the implementation of IoT systems to foster environmental awareness in educational settings is still unexplored. This work addresses the educational need to train students on how to design complex sensor-based IoT ecosystems. Hence, a Project-Based-Learning approach is followed to explore multidisciplinary learning processes implementing IoT systems that varied in the sensors, actuators, microcontrollers, plants, soils and irrigation system they used. Three different types of planters were implemented, namely, hydroponic system, vertical garden, and rectangular planters. This work presents three key contributions that might help to improve teaching and learning processes. First, a holistic architecture describing how IoT ecosystems can be implemented in higher education settings is presented. Second, the results of an evaluation exploring teamwork performance in multidisciplinary groups is reported. Third, alternative initiatives to promote environmental awareness in educational contexts (based on the lessons learned) are suggested. The results of the evaluation show that multidisciplinary work including students from different expertise areas is highly beneficial for learning as well as on the perception of quality of the work obtained by the whole group. These conclusions rekindle the need to encourage work in multidisciplinary teams to train engineers for Industry 4.0 in Higher Education. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","MDPI AG","Sensors",Article,"Final",Open Access,Scopus,2-s2.0-85083432189
"López-Belmonte J., Segura-Robles A., Fuentes-Cabrera A., Parra-González M.E.","57214748261;57191975630;57209782017;57209307676;","Evaluating activation and absence of negative effect: Gamification and escape rooms for learning",2020,"International Journal of Environmental Research and Public Health","17","7", 2224,"","",,,"10.3390/ijerph17072224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082628594&doi=10.3390%2fijerph17072224&partnerID=40&md5=79e20d14f998e125b3f0549dc6ab8f33","Innovation has allowed for and developed new ways of teaching and learning. Gamification is among the new training methodologies, which is a didactic approach based on the game structure with an attractive component for students. Within gamification, flipped learning and problem-based learning, escape rooms can be found as a technical aspect, which is focused on providing enigmas and tracks for the various educational content that students have assimilated through learning based on problem solving. The aim of this study is to identify how the use of gamification with the use of educational escape rooms affects activation and absence of a negative effect on students. 61 Master students of the Autonomous City of Ceuta participated in this case study. They were divided into three study groups (1 control group; 2 experimental groups) that followed different formative actions (control group—traditional; experimental groups—escape rooms). To achieve the objectives, a mixed research design based on quantitative and qualitative techniques was followed. The instrument used for data collection was the GAMEX (Gameful Experience Scale). The results reveal that the students who had taken a gamified formative action through escape rooms obtained better assessment results in the indicators concerning motivation, teamwork, commitment, activation, and absence of a negative effect on the learning process than those with the traditional methodology. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","MDPI AG","Int. J. Environ. Res. Public Health",Article,"Final",Open Access,Scopus,2-s2.0-85082628594
"Saqr M., Nouri J., Vartiainen H., Malmberg J.","57193957679;36608737900;55532161200;35764884800;","What makes an online problem-based group successful? A learning analytics study using social network analysis",2020,"BMC Medical Education","20","1", 80,"","",,,"10.1186/s12909-020-01997-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081994966&doi=10.1186%2fs12909-020-01997-7&partnerID=40&md5=c67fc302d32fd9d54c35665520130e1a","Background: Although there is a wealth of research focusing on PBL, most studies employ self-reports, surveys, and interviews as data collection methods and have an exclusive focus on students. There is little research that has studied interactivity in online PBL settings through the lens of Social Network Analysis (SNA) to explore both student and teacher factors that could help monitor and possibly proactively support PBL groups. This study adopts SNA to investigate how groups, tutors and individual student's interactivity variables correlate with group performance and whether the interactivity variables could be used to predict group performance. Methods: We do so by analyzing 60 groups' work in 12 courses in dental education (598 students). The interaction data were extracted from a Moodle-based online learning platform to construct the aggregate networks of each group. SNA variables were calculated at the group level, students' level and tutor's level. We then performed correlation tests and multiple regression analysis using SNA measures and performance data. Results: The findings demonstrate that certain interaction variables are indicative of a well-performing group; particularly the quantity of interactions, active and reciprocal interactions among students, and group cohesion measures (transitivity and reciprocity). A more dominating role for teachers may be a negative sign of group performance. Finally, a stepwise multiple regression test demonstrated that SNA centrality measures could be used to predict group performance. A significant equation was found, F (4, 55) = 49.1, p < 0.01, with an R2 of 0.76. Tutor Eigen centrality, user count, and centralization outdegree were all statistically significant and negative. However, reciprocity in the group was a positive predictor of group improvement. Conclusions: The findings of this study emphasized the importance of interactions, equal participation and inclusion of all group members, and reciprocity and group cohesion as predictors of a functioning group. Furthermore, SNA could be used to monitor online PBL groups, identify important quantitative data that helps predict and potentially support groups to function and co-regulate, which would improve the outcome of interacting groups in PBL. The information offered by SNA requires relatively little effort to analyze and could help educators get valuable insights about their groups and individual collaborators. © 2020 The Author(s).","BioMed Central Ltd.","BMC Med. Educ.",Article,"Final",Open Access,Scopus,2-s2.0-85081994966
"Areeisty K., Hasanuddin, Sarong M.A.","57215595867;57216239560;55648686100;","The implementation of problem-based learning with mind mapping to improve students' learning motivation",2020,"Journal of Physics: Conference Series","1460","1", 012061,"","",,,"10.1088/1742-6596/1460/1/012061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081315462&doi=10.1088%2f1742-6596%2f1460%2f1%2f012061&partnerID=40&md5=482af56cb9d11618c0406db35da903eb","Students' learning motivation is as low as indicated by the poor learning outcomes for the topic of environment pollution system. The current teaching and learning process of environmental pollution is lack of the use of innovative learning models. Their learners are merely listening and take notes and thus they are not interested in learning. This research was conducted to determine the impacts of the implementation of problem-based learning models with Mind mapping on the students' motivation for the environmental pollution topic in Year 10 of two senior high school Banda Aceh, Indonesia. This research employed a quantitative approach, evaluation research. The method was quasi-experiment, with pretest-posttest factorial group design. The sample of this study were 253 students from SMAN 5 and SMAN 7 Banda Aceh, Indonesia. The instrument was a questionnaire to measure students' motivation. Data analysis involved a non-parametric test, the Mann Whitney test, at a significant level of 0.05. The findings of this study indicated that the influence of the implementation of problem-based learning models with Mind mapping on the motivation-.outcomes of the Year 10 students for the environmental pollution topic. © 2020 IOP Publishing Ltd. All rights reserved.","Institute of Physics Publishing","J. Phys. Conf. Ser.",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85081315462
"Palego C., Pierce I.","23973637900;6701581587;","Inspiring a self-reliant learning culture while brewing the next silicon valley in north Wales",2020,"Education Sciences","10","3", 64,"","",,,"10.3390/educsci10030064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081227390&doi=10.3390%2feducsci10030064&partnerID=40&md5=3733c826780e02961d11ff1992c5db19","Practical strategies for improving individual engagement and performance within an engineering team project learning environment were applied and evaluated. While methodological refinements were required due to the structural challenges and novelty of the practice, positive outcomes such as a perceived increase in engagement and technical proficiency were recorded. Critical aspects in the current approach are the well-known issue of assessing individual contributions within group performance, and setting a proper regulatory environment to prevent peer-assessment bias or dysfunctions. A novel intra-group mark moderation approach is presented and discussed. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","MDPI AG","Educ. Sci.",Article,"Final",Open Access,Scopus,2-s2.0-85081227390
"Kłeczek R., Hajdas M., Wrona S.","15063173300;55957730000;57193113680;","Wicked problems and project-based learning: Value-in-use approach",2020,"International Journal of Management Education","18","1", 100324,"","",,,"10.1016/j.ijme.2019.100324","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074141146&doi=10.1016%2fj.ijme.2019.100324&partnerID=40&md5=c70ff2dd643038e7fc450857e572c432","Goal: This paper contributes to the knowledge about the project-based learning (PBL) aimed at solving “wicked” problems, performed in a collaborative education-enterprise learning environment. Results: We have identified one pattern in the analysed data: the more the teaching process is focused (by content, time and participants) on the task to be solved, the greater the effects. Method: The critical incident technique (CIT) has been used to generate data. Unit of analysis is the real process of interactions between students, faculty members, business-partners and project organizers during the work in progress on business originated project challenges. Managerial implications: We suggest changes in PBL project structure aimed at solving wicked problems: introducing more diverse and smaller projects instead of one big project challenge, teaching students how to manage information complexity and dynamic project requirements, allowing students to participate in the selection and organization of students’ teams. Limitations: The research is focused on: (1) students' point of view and (2) learning of problem formulation in the design thinking process. Originality/value: The contribution is the identified pattern: the more the teaching process is focused (by content, time and participants) on the task to be solved, the greater the effects. © 2019 Elsevier Ltd","Elsevier Ltd","Int. J. Manage. Educ.",Article,"Final",Open Access,Scopus,2-s2.0-85074141146
"Tang C.M., Bradshaw A.","36462596300;57193953331;","Instant messaging or face-to-face? How choice of communication medium affects team collaboration environments",2020,"E-Learning and Digital Media","17","2",,"111","130",,,"10.1177/2042753019899724","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078024040&doi=10.1177%2f2042753019899724&partnerID=40&md5=5b541efb3ae9e3126f77b55209f15233","Working on team projects is a common feature in higher education as a way to foster team learning and collaboration. For a team to work well towards achieving project objectives, it is important that there is effective team communication. Conventionally, face-to-face interactions allow students to interact with each other in multiple communication channels, simultaneously sending and receiving verbal and nonverbal messages in real time. Today, modern mobile technology offers students a variety of alternative digital communication media for collaboration. Unlike a full-channel communication medium such as the face-to-face interaction, a digital communication medium like instant messaging does not normally transmit nonverbal cues. As a result, to compensate for insufficient nonverbal cues, users of instant messaging services have to put more effort and time into understanding each other. If more effort and time is required to understand each other better, then why is it that today’s students prefer instant messaging to face-to-face interactions for collaborative project work? To answer this question, this study conducted a questionnaire survey to collect responses from university students who have been involved in team projects. This study analysed students’ copresence (a second-order formative construct consisting of two first-order constructs: self-copresence and partner-copresence) and its relationships with media satisfaction and communication effectiveness. It investigated whether these relationships differed between the students who used instant messaging and those who used face-to-face interactions. In addition, this study also examined whether media satisfaction played a mediating role between copresence and communication effectiveness. The findings of this study could help explain how different communication media can facilitate teamwork in collaborative learning environments. © The Author(s) 2020.","SAGE Publications Inc.","E-Learning Digit. Media",Article,"Final",,Scopus,2-s2.0-85078024040
"Isaacson S., Friedlander L., Meged C., Havivi S., Cohen-Zada A.L., Ronay I., Blumberg D.G., Maman S.","57190376052;55775479900;57212451376;57190382855;57041268100;57212447299;26642986200;37111154200;","She Space: A multi-disciplinary, project-based learning program for high school girls",2020,"Acta Astronautica","168",,,"155","163",,,"10.1016/j.actaastro.2019.12.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076685051&doi=10.1016%2fj.actaastro.2019.12.005&partnerID=40&md5=df314c047e93015456004b68372fbd21","Previous research investigating the under-representation of women in science and technology fields has identified various causes. These include, a lack of inspiring female role-models, limited exposure of girls to science, technology, engineering, and mathematics (STEM) subjects, gender-biased stereotypes, and preferences for different learning styles between genders. Dedicated to the ideas of women and space, the “She Space” research project for high school girls was a joint effort of the Earth and Planetary Image Facility (EPIF) at Ben-Gurion University in the Negev and Beit Yatziv. The participants included 20 high-school aged female students and a predominantly female staff of up to eight university researchers and advanced degree students. The goal of this project was to advance and support female students engaging with various scientific fields and, in particular, the field of space science. The project emphasized the quality and development of the research process and used project-based learning to help participants learn to use a research-based approach when encountering challenging scientific concepts or subjects. This, together with active learning and teamwork was set as the educational framework to meet the different learning styles and motivational needs of girls. Furthermore, special attention was given to the suppression of gender stereotypes by 1) introducing women role models 2) overcoming self-induced prejudices related to STEM abilities by introducing new and unknown subjects (remote sensing), about which participants lack preconceptions. Using participant surveys, we found that self-reported confidence with and interest in STEM subjects increased after the project. We also found that participants’ feelings about participating in an all-female program did not noticeably change after the program. However, the vast majority (87%) of participants did report that having a majority female staff was very important to them. © 2019 IAA","Elsevier Ltd","Acta Astronaut",Article,"Final",,Scopus,2-s2.0-85076685051
"Kneisel E.","57215607025;","Team reflections, team mental models and team performance over time",2020,"Team Performance Management","26","1-2",,"143","168",,,"10.1108/TPM-09-2018-0061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081373504&doi=10.1108%2fTPM-09-2018-0061&partnerID=40&md5=5202a20f2e9e13648799e1d4a1d50522","Purpose: Although previous research proved positive impacts of team reflection on team outcomes, especially team performance and innovation, there are only a few insights in to which factors (mediators) account for these positive effects and over what period these effects unfold (temporal effects). To close this gap, this paper aims to investigate the direct effects of team reflection on team performance over time, as well as indirect effects because of the development of similar and accurate team mental models to explain this relationship. Design/methodology/approach: Within a longitudinal experimental study on 22 student project teams working on a complex problem-solving task, the effects of repeated team reflection interventions on the development of team performance and team mental models over six measuring times were analysed. Findings: Results show that team reflections caused significant increases in team performance and team mental models over time. Results also provide evidence that team mental models’ quality mediates the effects of team reflections on team performance. Research limitations/implications: The results are interesting for both research fields, team reflection and team mental models, as the findings indicate the merits of recurrent reflection for improving team mental models’ quality. Practical implications: For organisational practice, the question of how reflection processes can be deliberately triggered in teams and effectively integrated into the daily routine should be considered. Originality/value: The findings accentuate the role of team reflections for improving team performance team mental models over time. By continuous reflecting teams increase awareness and insights into effective team processes and strategies (i.e. shared and accurate team mental models), which lead to better performance. © 2020, Emerald Publishing Limited.","Emerald Group Publishing Ltd.","Team Perform. Manage.",Article,"Final",,Scopus,2-s2.0-85081373504
