PT;AU;BA;BE;GP;AF;BF;CA;TI;SO;SE;BS;LA;DT;CT;CY;CL;SP;HO;DE;ID;AB;C1;RP;EM;RI;OI;FU;FX;CR;NR;TC;Z9;U1;U2;PU;PI;PA;SN;EI;BN;J9;JI;PD;PY;VL;IS;PN;SU;SI;MA;BP;EP;AR;DI;D2;EA;PG;WC;SC;GA;UT;PM;OA;HC;HP;DA;
J;"Kumar, JA; Silva, PA; Prelath, R";;;;"Kumar, Jeya Amantha; Silva, Paula Alexandra; Prelath, Renugha";;;Implementing studio-based learning for design education: a study on the perception and challenges of Malaysian undergraduates;INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION;;;English;"Article; Early Access";;;;;;"Studio-based learning; Design education; Undergraduates; Problem-based learning; Malaysia";"COMMUNICATION DESIGN; STUDENTS; TECHNOLOGY; FRAMEWORK; ART";Studio-based learning (SBL) is a teaching and learning methodology that combines different learning pedagogies such as social constructivist, problem-based, and active learning to mimic real-world working experience. Traditionally, SBL is practised in architecture and art programmes, however there is a growing number of research in other areas such as computer science, engineering, entrepreneurship and design courses. Nevertheless, in Malaysia, studies have only focused on architecture programmes. Therefore, this study focuses on reporting the experience and challenges of implementing SBL for a design course in the area of Visual Communication. By employing a qualitative methodology, findings show positive perception towards SBL where respondents reported awareness in improved design and communication skills, and increased acceptance towards team work. They found the critique sessions, facilitated their learning progress. Nevertheless, students reported challenges with inept teaching and learning facilities for design work, collaboration and communication breakdown with stakeholders. The study also reports on improvement strategies to enhance students learning experience through SBL.;"[Kumar, Jeya Amantha] Univ Sains Malaysia, Ctr Instruct Technol & Multimedia, George Town, Malaysia; [Silva, Paula Alexandra] Univ Coimbra, Dept Comp Sci, Fac Sci & Technol, Rua Silvio Lima,Polo 2, Coimbra, Portugal; [Prelath, Renugha] Politekn METrO Tasek Gelugor, Tasek Gelugor, Penang, Malaysia";Kumar, JA (reprint author), Univ Sains Malaysia, Ctr Instruct Technol & Multimedia, George Town, Malaysia.;jeya.amantha@gmail.com;"Kumar, Jeya Amantha/B-3262-2018; Silva, Paula Alexandra/N-5939-2014";"Kumar, Jeya Amantha/0000-0002-6920-0348; Silva, Paula Alexandra/0000-0003-1573-7446";Universiti Sains MalaysiaUniversiti Sains Malaysia [304/PMEDIA/6315219];The Universiti Sains Malaysia supported this work under USM Short Term Grant [304/PMEDIA/6315219].;;45;0;0;8;8;SPRINGER;DORDRECHT;VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS;0957-7572;1573-1804;;INT J TECHNOL DES ED;Int. J. Technol. Des. Educ.;;;;;;;;;;;;10.1007/s10798-020-09566-1;;FEB 2020;21;"Education & Educational Research; Education, Scientific Disciplines; Engineering, Multidisciplinary";"Education & Educational Research; Engineering";KP3UE;WOS:000516163800001;;;;;2020-05-14;
J;"Colomo-Palacios, R; Samuelsen, T; Casado-Lumbreras, C; Larrucea, X";;;;"Colomo-Palacios, Ricardo; Samuelsen, Terje; Casado-Lumbreras, Cristina; Larrucea, Xabier";;;Students' Selection of Teamwork Tools in Software Engineering Education: Lessons Learned;INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION;;;English;Article;;;;;;"software engineering education; teamwork; software engineering tools; decision-making; qualitative study, freedom of choice";"TECHNOLOGY ACCEPTANCE MODEL; INFORMATION-TECHNOLOGY; USER ACCEPTANCE; AGILE; CURRICULUM; INNOVATION; EVOLUTION; SYSTEMS";"Software work is normally developed in groups. As a result, there is a need to develop teamwork competence in related activities such as, software engineering education. In higher education educational settings, courses often propose several tools for student groups to either guide or support their work. In this paper, authors present main results and lessons learned from courses on software engineering. Specifically, the aim of this paper is the study of the selection and the adoption of software engineering tools by students working in teams, in the context of a software engineering course. The purpose of the study is analysing the students' decision making process and reasoning strategies to such selection. In this scenario, driven by a project based learning approach, a qualitative study on the use of specific tools to support group work was conducted. Results reveal that students demonstrate a rational decision making process based on logical efficient reasoning. As consequence six lessons have been learned: everything in one place; the new over the known; freedom over imposition; performance and freedom; social influence and secondary role of project management. In addition, these six lessons have been compared with previous literature in the topic and backing them up with main theories in the field. Finally, authors reflect on the implications of such lessons learned analyzing deeply aspects like freedom of choice, performance, tools features, imposition and social influence, to bring a set of grounded argumentations to the reader.";"[Colomo-Palacios, Ricardo; Samuelsen, Terje] Ostfold Univ Coll, BRA Veien 4, N-1783 Halden, Norway; [Casado-Lumbreras, Cristina] Univ Complutense Madrid, Campus Somosaguas, Madrid 28223, Spain; [Larrucea, Xabier] Tecnalia, Parque Tecnol Bizkaia,Calle Geldo,Edificio 700, E-48160 Derio, Bizkaia, Spain";Colomo-Palacios, R (reprint author), Ostfold Univ Coll, BRA Veien 4, N-1783 Halden, Norway.;"ricardo.colomo-palacios@hiof.no; terje.samuelsen@hiof.no; crcasado@ucm.es; xabier.larrucea@tecnalia.com";;;;;;54;0;0;9;9;TEMPUS PUBLICATIONS;DURRUS, BANTRY;IJEE , ROSSMORE,, DURRUS, BANTRY, COUNTY CORK 00000, IRELAND;0949-149X;;;INT J ENG EDUC;Int. J. Eng. Educ;;2020;36;1;B;;SI;;309;316;;;;;8;"Education, Scientific Disciplines; Engineering, Multidisciplinary";"Education & Educational Research; Engineering";KB0RG;WOS:000506207400004;;;;;2020-05-14;
J;"Iacob, C; Faily, S";;;;"Iacob, Claudia; Faily, Shamal";;;Exploring the gap between the student expectations and the reality of teamwork in undergraduate software engineering group projects;JOURNAL OF SYSTEMS AND SOFTWARE;;;English;Article;;;;;;"Software engineering; Project; Group project; Engineering education";;Software engineering group projects aim to provide a nurturing environment for learning about teamwork in software engineering. Since social and teamwork issues have been consistently identified as serious problems in such projects, we aim to better understand the breakdown between the expectations teams have at the start of a group project and their experiences at the end of the project. In this paper, we investigate how 35 teams of undergraduate students approach software engineering group project courses, and how their previous experience with collaborative software development matches their expectations for group work. We then analyse the retrospective documents delivered by the same teams at the end of a 27-week software engineering group project course, mirroring the expectations at the start of the project with the realities described by the end of it. (C) 2019 Elsevier Inc. All rights reserved.;"[Iacob, Claudia] Univ Portsmouth, Comp Sci, Buckingham Bldg,Lion Terrace, Portsmouth PO1 3HE, Hants, England; [Faily, Shamal] Bournemouth Univ, Syst Secur Engn, Bournemouth, Dorset, England";Iacob, C (reprint author), Univ Portsmouth, Buckingham Bldg,Lion Terrace, Portsmouth PO1 3HE, Hants, England.;"iacob@port.ac.uk; sfaily@bournemouth.ac.uk";;"Iacob, Claudia/0000-0002-1032-7598; Faily, Shamal/0000-0002-2859-1143";;;;25;0;0;2;6;ELSEVIER SCIENCE INC;NEW YORK;STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA;0164-1212;1873-1228;;J SYST SOFTWARE;J. Syst. Softw.;NOV;2019;157;;;;;;;;UNSP 110393;10.1016/j.jss.2019.110393;;;18;"Computer Science, Software Engineering; Computer Science, Theory & Methods";Computer Science;JA8YP;WOS:000488137500007;;;;;2020-05-14;
J;Kleinschmidt, JH;;;;Kleinschmidt, Joao H.;;;Teaching internet of things for engineering courses: A project-based cooperative approach;INTERNATIONAL JOURNAL OF ELECTRICAL ENGINEERING EDUCATION;;;English;"Article; Early Access";;;;;;"Internet of things; cooperative learning; project-based learning; engineering; interdisciplinarity; open source";;Internet of things is emerging in the recent years and is changing many traditional industries in the recent years. Engineering students of several knowledge areas may benefit with the introduction of internet of things concepts in the undergraduate courses, since there is an increasingly need of professionals to work in multidisciplinary teams. This paper proposes an undergraduate course to teach internet of things concepts for engineering students using cooperative problem-based learning (CPBL). The students have to develop a project using different internet of things technologies: sensing and actuation, embedded computing, communication and networking, cloud computing, and data analytics. The proposed course may help students to improve not only their technical skills but also soft skills, such as teamwork, communication and creativity. The developed projects achieved good results, and positive feedback was received from the students. Students from engineering courses related to internet of things had a better performance than students of no internet of things-related courses.;[Kleinschmidt, Joao H.] Univ Fed ABC, Ctr Engn Modelagem & Ciencias Sociais Aplicadas, Santo Andre, Brazil;Kleinschmidt, JH (reprint author), Univ Fed ABC, Ctr Engn Modelagem & Ciencias Sociais Aplicadas, Santo Andre, Brazil.;joao.kleinschmidt@ufabc.edu.br;Kleinschmidt, Joao Henrique/E-9372-2012;Kleinschmidt, Joao Henrique/0000-0001-6706-455X;;;;20;0;0;7;18;SAGE PUBLICATIONS LTD;LONDON;1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND;0020-7209;2050-4578;;INT J ELEC ENG EDUC;Int. J. Elec. Eng. Educ.;;;;;;;;;;;UNSP 0020720919867437;10.1177/0020720919867437;;AUG 2019;16;"Education, Scientific Disciplines; Engineering, Electrical & Electronic";"Education & Educational Research; Engineering";IP1FW;WOS:000479809100001;;;;;2020-05-14;
J;"Kubincova, Z; Sunikova, D; Homola, M";;;;"Kubincova, Zuzana; Sunikova, Dana; Homola, Martin";;;Badges for Peer Assessment of Teamwork in Organized Education;JOURNAL OF UNIVERSAL COMPUTER SCIENCE;;;English;Article;;;;;;"badges; peer assessment; teamwork; negative feedback";"ASSESSMENT MODEL; GROUP WORK; PROJECT; SKILLS";"Team projects and group work have proven to be useful and rewarding educational activities that help students develop important abilities and skills. On the other hand, they have also proven to be difficult to grade in a balanced way which would be perceived as fair by the students. Numerical ratings such as those delivered by the Fink method provide ways to determine the shares of contributions of each individual team member. But such bare numerical evaluation needs also some secondary justification that helps team members to understand why their rating is high or low. Methods to collect such additional feedback often rely on surveys; however, extensive surveys may be perceived as tedious by the students, especially as they need to be filled out for each other team member participating in the team. This may have negative effect on the quality of feedback collected in form of surveys. We present a novel approach to peer assessment of a team-based project exploiting badges that represent individual contributions to the task and teamwork related traits. We show that this approach has positive influence on engagement in peer assessment compared to free-text open questions. We also study if the feedback obtained in this way is informative and to which extent it can serve as replacement for open free-text questions.";"[Kubincova, Zuzana; Sunikova, Dana; Homola, Martin] Comenius Univ, Bratislava, Slovakia";Kubincova, Z (reprint author), Comenius Univ, Bratislava, Slovakia.;"kubincova@fmph.uniba.sk; dana.sunikova@gmail.com; homola@fmph.uniba.sk";;;Slovak national VEGA project [1/0797/18];The authors would like to thank to their colleague Jan Kl'uka. This work was supported from the Slovak national VEGA project no. 1/0797/18.;;46;0;0;0;0;GRAZ UNIV TECHNOLGOY, INST INFORMATION SYSTEMS COMPUTER MEDIA-IICM;GRAZ;INFFELDGASSE 16C, GRAZ, A-8010, AUSTRIA;0948-695X;;;J UNIVERS COMPUT SCI;J. Univers. Comput. Sci.;;2019;25;12;;;;;1589;1607;;;;;19;"Computer Science, Software Engineering; Computer Science, Theory & Methods";Computer Science;KA7KY;WOS:000505978400005;;;;;2020-05-14;
J;"Bowman, CDD; Elkins-Tanton, LT; Bacalzo, D; Howell, P; Montgomery, EJ; Sanft, A; Briggs, D; Chen, YT; Mccarville, D; Meuth, R; Zhao, M";;;;"Bowman, Catherine D. D.; Elkins-Tanton, Linda T.; Bacalzo, Dean; Howell, Paul; Montgomery, Eric J.; Sanft, Alfred; Briggs, Dillon; Chen, Yitao; Mccarville, Daniel; Meuth, Ryan; Zhao, Ming";;;Coordinating Opportunistic Interdisciplinary Projects Across Single-Discipline Capstone Courses;INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION;;;English;Article;;;;;;"interdisciplinary; STEM; disciplinary culture; teamwork; program evaluation";;There is increasing interest in developing interdisciplinary capstone courses in which students from different majors enroll to work together on complex, real-world projects. Creation of new interdisciplinary capstone courses may not be feasible for some departments or institutions, however, due to administrative or funding complexities. As an alternative, the inclusion of interdisciplinary projects engaging students enrolled in separate single-discipline capstone courses may offer the opportunity to undertake interesting projects, or engage with certain sponsors, that would not be possible without the contributions of students from diverse disciplines. Having such projects undertaken by interdisciplinary teams of students who remain in their single-discipline capstone courses does not reduce, and may amplify, the challenges found in full-fledged interdisciplinary capstone courses (e.g., misaligned schedules, differing requirements, and unfamiliar working cultures). This paper provides findings from the pilot year of a series of opportunistic interdisciplinary capstone projects associated with NASA's Psyche Asteroid Mission involving students from computer science, computer systems engineering, engineering management, industrial design, and graphic design. The findings highlight the importance of close communication and flexibility between faculty and identify a novel and potentially-replicable approach of including project management capstone students on interdisciplinary teams. The paper also describes changes that were implemented for the national expansion of the program with the 2018-2019 academic year and provides early lessons learned associated with those changes, outlining a plan for iterative improvement.;"[Bowman, Catherine D. D.; Elkins-Tanton, Linda T.] Arizona State Univ, Sch Earth & Space Explorat, POB 876004, Tempe, AZ 85287 USA; [Bacalzo, Dean; Howell, Paul; Montgomery, Eric J.; Sanft, Alfred] Arizona State Univ, Design Sch, POB 871605, Tempe, AZ 85287 USA; [Briggs, Dillon] Arizona State Univ, Sch Engn Matter Transport & Energy, POB 876106, Tempe, AZ 85287 USA; [Chen, Yitao; Mccarville, Daniel; Meuth, Ryan; Zhao, Ming] Arizona State Univ, Sch Comp Informat & Decis Syst Engn, 699 S Mill Ave, Tempe, AZ 85281 USA";Bowman, CDD (reprint author), Arizona State Univ, Sch Earth & Space Explorat, POB 876004, Tempe, AZ 85287 USA.;"c.bowman@asu.edu; ltelkins@asu.edu; dean.bacalzo@asu.edu; eric.j.montgomery@asu.edu; asanft@asu.edu; yitao.chen@asu.edu; daniel.mccarville@asu.edu; rmeuth@asu.edu; mingzhao@asu.edu";;;;;;23;0;0;1;1;TEMPUS PUBLICATIONS;DURRUS, BANTRY;IJEE , ROSSMORE,, DURRUS, BANTRY, COUNTY CORK 00000, IRELAND;0949-149X;;;INT J ENG EDUC;Int. J. Eng. Educ;;2019;35;6;B;;SI;;1983;1992;;;;;10;"Education, Scientific Disciplines; Engineering, Multidisciplinary";"Education & Educational Research; Engineering";JN2YW;WOS:000496767400009;;;;;2020-05-14;
J;"Laplante, PA; Defranco, JF; Guimaraes, E";;;;"Laplante, Phillip A.; Defranco, Joanna F.; Guimaraes, Everton";;;Evolution of a Graduate Software Engineering Capstone Course-A Course Review;INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION;;;English;Review;;;;;;"software engineering; education; capstone project; agile; graduate program";;"In education projects, students sometimes have difficulty conveying their knowledge when asked to solve real problems especially when a software product is generated as an outcome. Faculty accumulated nearly 12 years of experience running a graduate software engineering capstone course perceived the need to better assist students on the learning process. Course adaptations are required, particularly considering the heterogeneity of student's background and work experience, as well as the use of current technologies and tools. The paper outlines an evolved graduate software engineering capstone course for part-time graduate professional students. The capstone course is intended to create a meaningful student experience while providing a productive environment to apply knowledge learned from the program. Moreover, the new proposal emphasizes agile methodologies and code as the primary artifact. Our main contribution is to present the evolution of this capstone course, from inception to coding, testing and deployment. The course revision includes new artifacts, such as a work breakdown structure and burndown chart, as means to improve the course learning outcomes based on lessons learned and student experience. For evaluation purposes, we selected groups of most recent capstone course sections totaling 175 students. Two learning objectives of the program were evaluated: teamwork and critical thinking. Critical thinking was assessed via the project plan artifact. Teamwork was assessed through discussion forums, team test plans and reports. The results were positive; however, they indicate that not all elements of project planning are present in the studio course.";"[Laplante, Phillip A.; Defranco, Joanna F.; Guimaraes, Everton] Penn State Univ, 30 East Swedesford Rd, Malvern, PA 19355 USA";Laplante, PA (reprint author), Penn State Univ, 30 East Swedesford Rd, Malvern, PA 19355 USA.;"pal11@psu.edu; jfd104@psu.edu; ezt157@psu.edu";;;;;;14;1;1;3;5;TEMPUS PUBLICATIONS;DURRUS, BANTRY;IJEE , ROSSMORE,, DURRUS, BANTRY, COUNTY CORK 00000, IRELAND;0949-149X;;;INT J ENG EDUC;Int. J. Eng. Educ;;2019;35;4;;;;;999;1007;;;;;9;"Education, Scientific Disciplines; Engineering, Multidisciplinary";"Education & Educational Research; Engineering";IF7LI;WOS:000473265200003;;;;;2020-05-14;
J;"Tarres-Puertas, MI; Lopez-Riera, A; Pala-Schonwalder, P; Vila-Marta, S";;;;"Tarres-Puertas, Marta, I; Lopez-Riera, Alexis; Pala-Schonwalder, Pere; Vila-Marta, Sebastia";;;An Interdisciplinary Approach to Motivate Students to Learn Digital Systems and Computing Engineering;INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION;;;English;Article;;;;;;"interdisciplinary projects; learning by doing; problem-based learning; collaborative work; teamwork; multidisciplinary approach; ICT; microcontrollers; simulation; digital systems; motivation; computing engineering";;"We report a new learning approach in collaborative learning-by doing, real-world team-based project in two ICT courses: Digital Systems and Computing Engineering, conducted at Universitat Politecnica de Catalunya. Data collected included: background information on students; course evaluations; measures of the knowledge and cross-knowledge of both disciplines taken before and after our SimulAVR project. SimulAVR integrates interdisciplinary knowledge by simulating via software a microcontroller and its implementation in VHDL. Our study is based on the analysis of the results of running the project for 3 years. After taking the simulAVR project, the students rated the interest in both courses higher.";"[Tarres-Puertas, Marta, I; Lopez-Riera, Alexis; Pala-Schonwalder, Pere; Vila-Marta, Sebastia] Univ Politecn Cataluna, Dept Min Ind & ICT Engn EMIT, Barcelona, Spain";Tarres-Puertas, MI (reprint author), Univ Politecn Cataluna, Dept Min Ind & ICT Engn EMIT, Barcelona, Spain.;"marta.isabel.tarres@upc.edu; alexis.lopez.riera@upc.edu; pere.pala@upc.edu; sebastia.vila@upc.edu";"Lopez-Riera, Alexis/AAH-8535-2020; Pala-Schonwalder, Pere/F-3928-2015";"Lopez-Riera, Alexis/0000-0003-3724-6461; Pala-Schonwalder, Pere/0000-0001-9739-0532";"Spanish Ministerio de Economia y Competitividad; FEDEREuropean Union (EU) [TEC2015-65748-R]";This study is supported in part by the Spanish Ministerio de Economia y Competitividad and FEDER grant TEC2015-65748-R. The authors would like extend our thanks to DS and PT students who provided excellent feedback over the past 3 years.;;17;0;0;2;4;TEMPUS PUBLICATIONS;DURRUS, BANTRY;IJEE , ROSSMORE,, DURRUS, BANTRY, COUNTY CORK 00000, IRELAND;0949-149X;;;INT J ENG EDUC;Int. J. Eng. Educ;;2019;35;2;;;;;510;518;;;;;9;"Education, Scientific Disciplines; Engineering, Multidisciplinary";"Education & Educational Research; Engineering";HM4ER;WOS:000459427000007;;;;;2020-05-14;
J;"Chis, AE; Moldovan, AN; Murphy, L; Pathak, P; Muntean, CH";;;;"Chis, Adriana E.; Moldovan, Arghir-Nicolae; Murphy, Lisa; Pathak, Pramod; Muntean, Cristina Hava";;;Investigating Flipped Classroom and Problem-based Learning in a Programming Module for Computing Conversion Course;EDUCATIONAL TECHNOLOGY & SOCIETY;;;English;Article;;;;;;"Flipped classroom; context-based learning technology; problem-based learning; authentic learning; fun e-learning; edutainment; authentic context";"SKILLS; PERFORMANCE; STUDENTS";This research paper investigates the effectiveness of combined Flipped Classroom (FC) and Problem-based Learning (PBL) teaching approach in a computer programming module. Combined FC-PBL makes use of learning technologies and supports authentic learning in terms of authentic context, multiple perspectives through team work and collaboration. FC involves watching educational videos prior to class session, and using the class session for practical tasks, thus supporting programming skills development. PBL enables authentic learning activities through group work and helps students to develop 21st century skills such as self-direction, collaboration, creativity and innovation. A research case study was conducted that considered a three-stage based delivery of the module that involved traditional, only FC, and combined FC-PBL teaching approaches applied on a number of programming topics. Both the educational and edutainment benefits were analyzed. The results show that combined FC-PBL approach is effective and the knowledge acquired by students improves, in particular, for the weaker students. Only 1.9% of students have scored an assessment mark lower than 40% compared to 28.3% and 24.5% when the traditional teaching and FC-only approaches respectively were used. Overall, a 26.56% increase in the assessment results was noticed when combined FC-PBL was used. The edutainment element was investigated through a questionnaire that assessed learning environment, engagement, learner satisfaction and whether the students have enjoyed learning sessions. The survey analysis shows that the combined FC-PBL approach does aid in the edutainment of mature students and provides an enjoyable learning experience.;"[Chis, Adriana E.; Moldovan, Arghir-Nicolae; Murphy, Lisa; Pathak, Pramod; Muntean, Cristina Hava] Natl Coll Ireland, Sch Comp, Dublin, Ireland";Muntean, CH (reprint author), Natl Coll Ireland, Sch Comp, Dublin, Ireland.;"adriana.chis@ncirl.ie; arghir.moldovan@ncirl.ie; lisa.murphy@ncirl.ie; pramod.pathak@ncirl.ie; cristina.muntean@ncirl.ie";;;NEWTON project under the European Union's Horizon 2020 Research and Innovation programme [688503];This research is supported by the NEWTON project (http://www.newtonproject.eu/) funded under the European Union's Horizon 2020 Research and Innovation programme, Grant Agreement no. 688503.;;57;5;5;3;42;NATL TAIWAN NORMAL UNIV, TAIWAN;TAIPEI;129, SEC 1, HEPING E RD, EDUCATION BUILDING, RM 611, TAIPEI, 10644, TAIWAN;1176-3647;1436-4522;;EDUC TECHNOL SOC;Educ. Technol. Soc.;DEC;2018;21;4;;;SI;;232;247;;;;;16;Education & Educational Research;Education & Educational Research;GW9FF;WOS:000447287000019;;;;;2020-05-14;
J;Hirshfield, LJ;;;;Hirshfield, Laura J.;;;Equal But Not Equitable: Self-Reported Data Obscures Gendered Differences in Project Teams;IEEE TRANSACTIONS ON EDUCATION;;;English;Article;;;;;;"First year experience; gender; project-based learning; teamwork";"WOMEN; PERSISTENCE; SCIENCE; THREAT";"Contribution: This paper argues for a shift in how students' team project experiences are assessed. Findings from this paper suggest that it is not enough to consider student-reported data in assessing team dynamics; hidden gendered behavior may be impacting students in ways that students do not realize or report. Background: Although the number of women in engineering is rising, difficulties still exist for female students in electrical engineering and computer science, particularly in team projects. Male and female students may have very different project experiences, due to differing levels of confidence/self-efficacy, difficult team dynamics, or inequitable task division. Research Questions: This paper aimed to elucidate what differences exist in the project experience between male and female students, considering self-reported measures (engineering confidence/self-efficacy, time spent on task, and team satisfaction) and observational study. Methodology: Students completed pre/post-project surveys, weekly logs, and post-project interviews to report and discuss their engineering confidence/self-efficacy, project task selection, and team satisfaction. This paper reports a case study of one student team, observed by a researcher throughout the project course. Findings: While student-reported data implied a lack of gender division (male and female students had the same levels of confidence, completed the same project tasks, and were similarly satisfied with their teams), the observational study implied that the student-reported data may not be telling the whole story. Given the difficult team dynamics observed in the student team (but not reported by students), findings suggest that difficult gender dynamics may go unrecognized by students.";[Hirshfield, Laura J.] Univ Michigan, Dept Chem Engn, Ann Arbor, MI 48109 USA;Hirshfield, LJ (reprint author), Univ Michigan, Dept Chem Engn, Ann Arbor, MI 48109 USA.;lhirshfi@umich.edu;;Hirshfield, Laura/0000-0002-6723-670X;University of Michigan through Transforming Learning in the Third Century Grant;This work was supported by the University of Michigan through the Transforming Learning in the Third Century Grant.;;30;1;1;0;3;IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC;PISCATAWAY;445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA;0018-9359;1557-9638;;IEEE T EDUC;IEEE Trans. Educ.;NOV;2018;61;4;;;SI;;305;311;;10.1109/TE.2018.2820646;;;7;"Education, Scientific Disciplines; Engineering, Electrical & Electronic";"Education & Educational Research; Engineering";GY5KZ;WOS:000448615700007;;;;;2020-05-14;
